
PYST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2013-1-1,31,25,19,24,21,17,100,81,46,1016,1012,1006,19,10,1,50,18,69,44.96,5,Rain-Thunderstorm,156<br />
2013-1-2,29,23,17,19,16,14,83,65,38,1017,1016,1013,19,14,10,23,14,,0.00,5,,167<br />
2013-1-3,32,24,18,23,18,16,88,67,41,1016,1014,1010,19,15,10,14,10,,0.00,4,,119<br />
2013-1-4,34,28,22,25,23,21,89,69,42,1016,1012,1008,19,14,10,27,13,37,0.00,2,,46<br />
2013-1-5,36,31,27,24,23,21,79,62,36,1011,1008,1005,19,13,10,37,18,40,0.00,2,Thunderstorm,37<br />
2013-1-6,36,31,26,24,23,21,83,65,39,1008,1006,1003,19,13,10,34,14,,0.00,4,,31<br />
2013-1-7,33,30,27,25,23,22,84,67,44,1005,1003,1001,19,11,6,74,26,52,0.00,6,Thunderstorm,5<br />
2013-1-8,36,31,27,27,25,23,94,73,40,1008,1006,1003,19,11,8,19,5,,0.00,5,Rain-Thunderstorm,132<br />
2013-1-9,32,28,25,25,24,22,94,74,58,1011,1010,1007,19,13,10,19,10,,0.00,6,,132<br />
2013-1-10,34,29,24,25,22,19,89,62,30,1013,1011,1009,19,12,8,26,13,40,0.51,2,Rain-Thunderstorm,137<br />
2013-1-11,34,28,22,20,17,14,73,50,22,1012,1009,1006,19,12,9,23,11,,0.00,1,,137<br />
2013-1-12,34,28,22,21,18,13,88,56,26,1010,1008,1007,19,14,6,26,10,,0.00,1,,56<br />
2013-1-13,34,27,20,19,17,14,83,49,20,1012,1010,1008,19,16,8,21,8,,0.00,,,104<br />
2013-1-14,35,28,22,19,18,15,83,51,27,1012,1010,1007,19,11,8,24,6,,0.00,2,,149<br />
2013-1-15,35,29,23,23,19,18,83,57,32,1009,1007,1003,19,12,9,27,8,47,0.25,2,Rain-Thunderstorm,103<br />
2013-1-16,36,28,21,22,18,14,83,54,22,1007,1005,1003,19,13,6,19,8,,0.00,3,,92<br />
2013-1-17,37,31,24,21,19,16,78,52,25,1010,1007,1005,19,12,9,32,10,40,0.00,2,,132<br />
2013-1-18,36,29,22,21,20,18,83,55,26,1011,1009,1007,19,12,6,34,10,47,0.00,4,,181<br />
2013-1-19,34,29,23,20,17,11,83,49,20,1013,1011,1009,19,13,10,34,19,47,0.00,4,,165<br />
2013-1-20,33,28,22,17,14,11,73,45,17,1014,1013,1010,19,14,10,35,18,47,0.00,2,,166<br />
2013-1-21,34,28,22,21,18,17,73,57,38,1014,1013,1010,19,14,10,23,13,,0.00,4,,129<br />
2013-1-22,32,28,23,23,21,18,94,75,35,1015,1014,1011,19,13,6,23,10,,0.25,7,Rain,153<br />
2013-1-23,37,30,22,22,17,14,74,37,21,1013,1009,1007,19,13,10,19,8,,0.00,2,,73<br />
2013-1-24,41,32,23,22,19,17,73,46,18,1010,1005,1000,19,17,8,27,11,37,0.00,1,,32<br />
2013-1-25,33,27,20,22,20,18,100,83,58,1013,1009,1002,19,11,3,37,18,55,12.95,7,Rain-Thunderstorm,180<br />
2013-1-26,30,24,18,21,14,10,94,54,20,1016,1013,1011,19,19,19,34,16,,0.00,,,166<br />
2013-1-27,32,23,16,16,13,10,71,39,20,1014,1012,1011,19,19,19,19,11,,0.00,,,166<br />
2013-1-28,37,28,20,18,15,13,65,46,16,1014,1012,1010,19,18,10,14,10,,0.00,,,150<br />
2013-1-29,38,31,23,22,18,17,69,40,23,1013,1010,1008,19,17,11,23,13,,0.00,,,100<br />
2013-1-30,38,31,24,21,18,17,74,44,22,1012,1010,1006,19,17,8,27,13,37,0.00,,,60<br />
2013-1-31,38,31,24,21,18,17,59,42,21,1009,1007,1004,19,14,9,34,16,40,0.00,1,,48<br />
2013-2-1,39,33,27,23,21,18,70,47,21,1009,1006,1004,19,15,10,27,16,37,0.00,2,,48<br />
2013-2-2,38,33,28,24,22,21,79,55,28,1010,1008,1006,19,14,10,42,14,47,0.00,3,Thunderstorm,49<br />
2013-2-3,36,31,25,24,21,17,89,58,25,1012,1010,1007,19,13,10,34,18,40,0.00,2,,178<br />
2013-2-4,36,29,22,21,15,3,78,46,7,1012,1010,1007,19,14,9,37,21,,0.00,1,,163<br />
2013-2-5,36,28,19,20,13,6,83,42,9,1011,1009,1007,19,10,5,27,13,37,0.00,,,175<br />
2013-2-6,36,28,19,20,15,13,73,44,17,1011,1009,1006,19,10,4,34,13,40,0.00,1,,173<br />
2013-2-7,36,28,21,20,18,16,88,55,24,1012,1009,1006,19,12,7,26,14,,0.00,3,Thunderstorm,122<br />
2013-2-8,36,29,22,21,17,13,83,53,17,1011,1009,1006,19,14,5,27,8,55,0.00,2,,81<br />
2013-2-9,34,28,21,22,19,17,89,67,33,1011,1009,1005,19,12,2,27,11,47,6.10,4,Rain-Thunderstorm,32<br />
2013-2-10,36,29,23,22,21,19,94,67,32,1011,1007,1004,19,12,2,40,18,55,21.08,4,Rain-Thunderstorm,34<br />
2013-2-11,29,24,20,22,21,19,100,86,55,1011,1009,1006,19,9,3,37,19,47,9.91,7,Rain-Thunderstorm,220<br />
2013-2-12,33,27,21,22,21,19,94,71,37,1009,1007,1004,19,13,10,23,6,,0.00,3,,14<br />
2013-2-13,33,28,24,26,23,21,89,70,40,1010,1007,1004,19,12,6,29,13,,1.02,5,Rain-Thunderstorm,32<br />
2013-2-14,29,25,21,24,22,21,100,96,82,1012,1009,1006,19,7,1,23,11,,34.04,6,Rain-Thunderstorm,76<br />
2013-2-15,33,27,21,24,22,17,100,81,36,1011,1009,1006,19,10,1,27,10,37,0.00,6,Rain-Thunderstorm,351<br />
2013-2-16,32,28,24,25,24,21,100,82,57,1009,1007,1003,19,13,10,29,6,,0.00,5,Rain-Thunderstorm,32<br />
2013-2-17,37,31,24,25,23,21,83,63,31,1007,1005,1002,19,14,10,34,19,47,0.00,3,,23<br />
2013-2-18,35,29,23,26,23,21,100,80,49,1011,1009,1006,19,10,1,37,18,55,11.94,7,Rain-Thunderstorm,58<br />
2013-2-19,29,26,23,26,23,22,100,88,68,1012,1011,1009,19,11,3,29,14,,11.94,7,Rain-Thunderstorm,45<br />
2013-2-20,32,28,23,25,23,22,100,83,45,1012,1010,1007,19,11,3,19,5,,17.02,4,Rain-Thunderstorm,316<br />
2013-2-21,31,27,23,24,23,23,100,81,63,1014,1012,1010,19,11,8,27,18,,6.10,6,Rain-Thunderstorm,182<br />
2013-2-22,32,28,23,23,21,20,89,70,41,1016,1013,1011,19,14,10,21,11,,0.00,2,,158<br />
