
WSDT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2013-1-1,30,28,26,24,24,23,89,80,64,1010,1010,1009,19,19,19,21,5,,23.88,,,-1<br />
2013-1-2,29,27,24,26,24,23,97,83,73,1010,1009,1008,19,19,19,14,6,,12.95,8,Rain-Thunderstorm,-1<br />
2013-1-3,29,28,27,26,24,23,78,75,70,1010,1008,1007,19,19,19,27,16,,0.00,8,Rain,-1<br />
2013-1-4,30,28,27,26,25,24,84,80,72,1007,1007,1005,19,19,19,29,16,,5.08,,Rain,-1<br />
2013-1-5,31,29,27,26,25,24,79,73,68,1008,1007,1005,19,19,19,40,23,,1.02,,Rain,-1<br />
2013-1-6,31,29,25,26,25,24,97,86,72,1009,1007,1006,19,17,10,23,8,,19.05,8,Rain,-1<br />
2013-1-7,30,28,26,26,25,24,93,80,71,1009,1007,1005,19,19,19,21,16,,0.00,8,Rain,-1<br />
2013-1-8,30,29,28,26,25,24,81,73,66,1007,1006,1004,19,19,19,23,18,,0.00,,,-1<br />
2013-1-9,29,28,26,26,24,24,85,82,71,1007,1006,1005,19,19,19,13,10,,7.87,8,Rain,-1<br />
2013-1-10,27,25,25,26,24,24,92,90,89,1008,1007,1007,19,19,19,32,11,,4.06,8,Rain,-1<br />
2013-1-11,28,27,25,25,24,23,90,85,77,1009,1008,1006,19,17,10,14,10,,29.97,8,Rain,-1<br />
2013-1-12,27,26,23,25,24,23,97,92,81,1009,1008,1007,19,12,10,34,19,,103.89,8,Rain,-1<br />
2013-1-13,28,26,24,24,24,23,100,90,75,1009,1008,1006,19,16,10,21,6,,55.12,8,Rain,-1<br />
2013-1-14,29,27,24,25,24,24,99,88,71,1009,1008,1007,19,16,0,8,3,,10.92,8,Rain,-1<br />
2013-1-15,27,26,24,26,24,24,97,93,85,1007,1007,1006,19,16,10,26,6,,26.92,8,Rain,-1<br />
2013-1-16,29,27,26,27,25,24,94,86,74,1007,1006,1004,19,18,10,32,19,,8.89,8,Rain,-1<br />
2013-1-17,28,27,26,26,26,24,94,85,73,1005,1003,1002,19,17,10,42,31,,1.02,8,Rain,-1<br />
2013-1-18,28,27,26,25,24,24,94,86,71,1005,1004,1002,19,18,10,27,21,,16.00,8,Rain,-1<br />
2013-1-19,31,28,26,25,24,23,91,73,58,1005,1004,1002,19,19,19,23,10,,0.00,,,-1<br />
2013-1-20,30,27,24,25,24,23,92,82,69,1006,1005,1003,19,18,10,14,5,,10.92,8,,-1<br />
2013-1-21,29,27,24,25,24,24,99,81,67,1006,1005,1003,19,18,10,23,8,,4.06,8,Rain,-1<br />
2013-1-22,30,28,26,24,24,23,84,71,62,1007,1005,1004,19,19,19,23,8,,1.02,8,Rain,-1<br />
2013-1-23,31,28,24,25,24,23,100,73,61,1007,1006,1004,19,19,19,13,10,,4.06,8,Rain,-1<br />
2013-1-24,28,27,26,26,24,23,86,82,69,1007,1006,1005,19,19,19,8,2,,2.03,8,Rain,-1<br />
2013-1-25,28,27,24,26,24,23,95,88,77,1007,1006,1005,19,18,10,6,3,,5.08,,,-1<br />
2013-1-26,29,27,24,26,24,22,87,82,70,1007,1006,1005,19,19,19,14,6,,0.00,,,-1<br />
2013-1-27,30,27,24,26,24,22,87,78,70,1007,1006,1004,19,19,19,13,5,,0.25,,,-1<br />
2013-1-28,29,28,27,26,26,24,93,82,69,1006,1005,1004,19,18,10,16,8,,13.97,8,Rain,-1<br />
2013-1-29,28,27,26,26,26,25,95,88,82,1007,1005,1004,19,19,19,29,8,,10.92,8,Rain,-1<br />
2013-1-30,28,27,26,26,25,24,93,87,77,1011,1008,1006,19,16,3,40,24,,7.87,8,Rain,-1<br />
2013-1-31,28,27,26,26,25,24,96,88,79,1041,1014,1008,19,16,10,29,8,,10.92,8,Rain-Thunderstorm,-1<br />
2013-2-1,27,26,24,26,24,23,96,91,84,1010,1009,1007,19,13,10,26,11,,45.97,8,Rain-Thunderstorm,-1<br />
2013-2-2,29,27,25,27,26,24,94,88,79,1008,1007,1005,19,17,3,29,10,,5.08,8,Rain,-1<br />
2013-2-3,29,27,25,26,24,24,92,85,77,1008,1007,1006,19,18,10,19,5,,8.89,8,Rain,-1<br />
2013-2-4,30,28,27,25,25,24,87,79,68,1007,1006,1005,19,17,10,23,10,,7.11,8,Rain,-1<br />
2013-2-5,30,28,25,25,24,24,94,80,65,1005,1004,1002,19,19,19,39,11,,2.03,8,,-1<br />
2013-2-6,31,29,27,26,24,23,84,71,54,1005,1004,1002,19,19,19,24,13,,0.00,,,-1<br />
2013-2-7,30,28,26,25,24,23,93,79,61,1006,1004,1002,19,17,10,29,18,,17.02,8,Rain-Thunderstorm,-1<br />
2013-2-8,30,28,25,25,24,23,89,76,64,1008,1007,1005,19,19,19,10,6,,2.03,,,-1<br />
2013-2-9,31,28,24,26,24,23,90,79,72,1010,1008,1006,19,19,19,19,6,,0.00,,Rain-Thunderstorm,-1<br />
2013-2-10,30,27,24,25,24,23,91,78,58,1010,1009,1007,19,19,19,10,5,,0.00,,Hail-Thunderstorm,-1<br />
2013-2-11,30,27,24,26,24,23,97,81,68,1011,1009,1008,19,19,19,10,5,,0.25,,Rain,-1<br />
2013-2-12,30,27,24,25,24,23,94,81,66,1012,1010,1009,19,18,10,13,5,,7.11,,Rain,-1<br />
2013-2-13,31,28,25,25,24,24,94,73,60,1012,1011,1010,19,19,19,29,18,,0.25,,,-1<br />
2013-2-14,31,28,26,25,24,23,84,71,65,1012,1010,1008,19,19,19,27,14,,2.03,,Rain,-1<br />
2013-2-15,31,27,24,26,24,23,95,77,65,1010,1008,1007,19,19,19,37,14,,4.06,,,-1<br />
2013-2-16,29,28,27,26,25,24,87,82,73,1010,1008,1006,19,19,19,34,13,,14.99,8,Rain,-1<br />
2013-2-17,28,27,25,24,24,23,94,85,73,1009,1008,1007,19,19,19,8,5,,10.92,8,Rain,-1<br />
2013-2-18,30,28,26,24,24,24,84,74,66,1011,1010,1008,19,19,19,24,18,,0.00,8,,-1<br />
2013-2-19,31,27,24,25,24,22,88,77,66,1010,1008,1007,19,19,19,27,10,,0.00,,,-1<br />
2013-2-20,29,27,26,24,24,24,90,83,71,1009,1008,1007,19,17,3,34,6,,3.05,8,Rain,-1<br />
2013-2-21,30,27,23,25,23,21,88,76,64,1011,1010,1009,19,18,10,27,10,,1.02,8,,-1<br />
2013-2-22,31,29,27,25,24,23,86,74,62,1011,1010,1008,19,19,19,26,11,,0.25,,Rain,-1<br />
2013-2-23,29,27,24,25,24,23,89,76,67,1012,1010,1008,19,19,19,19,5,,4.06,,,-1<br />
2013-2-24,29,27,24,24,23,22,93,73,62,1010,1009,1007,19,19,19,10,5,,0.00,,,-1<br />
2013-2-25,29,27,24,26,24,23,92,81,67,1010,1008,1007,19,19,19,11,5,,7.11,,,-1<br />
2013-2-26,31,29,27,24,24,24,84,73,62,1010,1009,1007,19,19,19,10,3,,0.51,8,,-1<br />
2013-2-27,31,29,27,26,24,24,85,75,62,1010,1009,1008,19,19,19,21,10,,0.25,,,-1<br />
