
AWST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2013-1-1,34,29,23,22,19,11,94,65,22,1013,1009,1006,31,12,5,27,14,,0.00,5,Rain,321<br />
2013-1-2,28,24,21,21,17,14,88,62,34,1013,1012,1010,31,13,10,27,18,,0.00,3,Rain,227<br />
2013-1-3,27,21,16,17,14,10,88,56,37,1013,1012,1010,31,13,10,35,18,48,0.00,3,Rain,241<br />
2013-1-4,26,20,14,13,11,7,82,50,24,1015,1013,1012,31,13,10,32,23,53,0.00,2,,212<br />
2013-1-5,38,25,12,12,9,2,94,41,6,1013,1010,1006,31,23,10,32,16,,0.00,,,169<br />
2013-1-6,34,28,22,22,17,11,70,50,26,1012,1010,1005,31,15,10,35,10,52,0.25,5,Rain,49<br />
2013-1-7,37,30,23,24,21,16,94,63,26,1015,1011,1009,31,14,2,27,16,,0.51,5,Rain-Thunderstorm,86<br />
2013-1-8,39,31,23,22,17,13,83,47,13,1011,1009,1008,31,17,10,34,21,50,0.00,6,Rain,193<br />
2013-1-9,28,23,19,20,16,13,83,62,35,1010,1009,1008,31,13,10,37,26,50,0.00,4,,212<br />
2013-1-10,27,20,13,15,13,9,94,57,25,1011,1009,1007,31,16,10,35,26,,0.00,1,,193<br />
2013-1-11,30,23,16,15,12,9,77,50,21,1012,1009,1007,31,31,31,32,21,52,0.00,,,182<br />
2013-1-12,34,27,20,15,12,9,57,40,20,1011,1009,1006,31,28,10,37,24,55,0.00,6,,101<br />
2013-1-13,28,24,22,19,17,15,73,60,38,1013,1011,1008,31,13,10,34,24,52,0.00,7,Rain,83<br />
2013-1-14,37,29,22,22,21,19,88,60,29,1010,1007,1005,31,14,10,32,13,,0.00,5,Rain,119<br />
2013-1-15,33,29,24,22,21,19,83,60,40,1007,1006,1004,31,16,10,27,16,,0.00,2,,332<br />
2013-1-16,27,24,20,22,19,14,94,73,49,1012,1008,1006,31,11,5,37,23,53,0.00,5,Rain,306<br />
2013-1-17,26,22,18,15,8,3,68,41,15,1017,1014,1010,31,16,10,39,29,53,0.00,3,,208<br />
2013-1-18,30,22,14,11,6,1,67,36,9,1020,1017,1013,31,20,10,27,23,47,0.00,1,,121<br />
2013-1-19,33,24,16,13,9,2,63,39,10,1016,1013,1010,31,31,31,35,24,52,0.00,,,129<br />
2013-1-20,36,24,13,18,12,3,88,45,8,1011,1009,1007,31,31,31,26,13,,0.00,,,230<br />
2013-1-21,33,26,18,17,14,10,78,48,20,1013,1011,1009,31,29,26,32,19,50,0.00,,,188<br />
2013-1-22,36,27,18,15,11,4,68,40,7,1013,1010,1007,31,23,10,29,19,48,0.00,1,,136<br />
2013-1-23,29,23,17,17,14,12,77,55,27,1012,1008,1007,31,16,10,34,19,47,0.00,1,,210<br />
2013-1-24,29,22,15,13,11,2,82,46,20,1018,1015,1012,31,16,10,35,23,,0.00,3,,189<br />
2013-1-25,32,24,16,13,8,3,73,36,11,1022,1019,1016,31,31,31,39,24,50,0.00,,,137<br />
2013-1-26,35,24,13,14,7,1,77,32,6,1021,1018,1016,31,31,31,34,14,35,0.00,,,140<br />
2013-1-27,36,28,20,16,11,8,60,36,12,1021,1019,1017,31,31,31,34,18,52,0.00,,,132<br />
