
EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2013-1-1,-2,-9,-15,-4,-12,-20,93,71,47,1012,1005,1001,16,11,1,26,6,60,0.51,5,Snow,292<br />
2013-1-2,-11,-18,-26,-17,-21,-30,85,69,51,1022,1013,1008,16,12,4,21,6,34,0.00,5,Snow,324<br />
2013-1-3,-11,-20,-29,-18,-23,-32,83,68,46,1023,1019,1011,16,16,11,11,2,,0.00,3,,334<br />
2013-1-4,-1,-9,-17,-5,-10,-19,85,74,64,1012,1007,1004,16,13,6,24,3,42,0.00,8,Snow,265<br />
2013-1-5,-1,-9,-18,-4,-9,-22,86,71,54,1025,1014,1004,16,8,1,32,11,55,0.51,6,Snow,304<br />
2013-1-6,-4,-11,-17,-6,-9,-19,93,83,74,1023,1013,1010,16,6,2,6,0,,1.78,8,Snow,30<br />
2013-1-7,-2,-12,-23,-5,-12,-26,88,76,48,1028,1021,1012,16,13,3,19,3,26,0.00,5,Snow,321<br />
2013-1-8,4,-10,-24,-6,-14,-27,86,70,43,1028,1025,1023,16,16,13,16,3,34,0.00,1,,341<br />
2013-1-9,3,-6,-14,-1,-6,-17,93,82,65,1029,1019,1011,16,9,1,11,2,,0.76,5,Fog-Snow,120<br />
2013-1-10,2,-1,-6,-1,-4,-9,85,67,55,1034,1024,1012,16,12,2,24,13,53,0.25,7,Snow,303<br />
2013-1-11,1,-7,-14,-2,-8,-17,88,75,56,1034,1028,1021,16,16,11,11,2,,0.00,4,,147<br />
2013-1-12,6,2,-1,1,-1,-2,100,88,70,1022,1020,1018,16,10,0,10,3,,0.00,6,Fog,351<br />
2013-1-13,8,4,0,4,1,-1,96,91,76,1021,1017,1012,16,7,0,10,0,,0.00,6,Fog,185<br />
2013-1-14,11,6,0,6,0,-7,93,75,55,1024,1016,1009,16,14,4,26,5,47,0.00,6,Rain,298<br />
2013-1-15,0,-3,-7,-7,-8,-10,85,64,51,1026,1025,1023,16,16,14,13,6,,0.00,6,,318<br />
2013-1-16,-3,-4,-6,-4,-6,-8,93,85,74,1024,1014,1008,16,7,1,10,2,,6.35,8,Fog-Snow,339<br />
2013-1-17,0,-7,-14,-3,-11,-24,93,69,39,1020,1011,1006,16,11,1,29,5,52,0.00,5,Snow,294<br />
2013-1-18,-10,-17,-23,-23,-26,-28,78,49,32,1028,1025,1020,16,16,16,16,6,29,0.00,1,,283<br />
2013-1-19,-2,-11,-19,-4,-14,-22,88,82,77,1025,1017,1009,16,8,2,0,0,,1.27,8,Snow,-1<br />
