
ALMT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2014-1-1,-6,-9,-12,-9,-12,-15,93,86,61,1038,1032,1030,10,2,0,6,3,,0.00,6,Fog,99<br />
2014-1-2,0,-6,-12,-8,-13,-18,94,80,42,1036,1029,1026,19,2,0,11,3,,0.00,4,Fog,172<br />
2014-1-3,4,-2,-9,-8,-12,-16,92,62,21,1031,1023,1021,19,3,0,21,6,,0.00,4,Fog,202<br />
2014-1-4,1,-1,-3,-2,-6,-12,93,68,28,1032,1026,1021,10,5,1,14,5,,0.51,7,Snow,113<br />
2014-1-5,-8,-12,-16,-4,-11,-17,100,90,69,1043,1032,1028,10,3,1,14,8,,2.03,8,Fog-Snow,337<br />
2014-1-6,-9,-14,-21,-16,-19,-23,92,80,40,1047,1038,1036,10,4,0,11,5,,2.03,5,Snow,351<br />
2014-1-7,-8,-13,-19,-14,-20,-25,92,79,43,1045,1032,1026,19,2,0,11,5,,0.00,2,Fog,213<br />
2014-1-8,-6,-12,-17,-13,-19,-24,92,78,38,1033,1024,1020,10,2,0,11,5,,0.00,4,Fog,132<br />
2014-1-9,1,-7,-15,-10,-14,-18,92,67,19,1036,1027,1021,19,2,0,11,5,,0.00,6,Fog,57<br />
2014-1-10,0,-7,-14,-11,-16,-19,92,72,30,1039,1033,1030,19,1,0,11,5,,0.00,1,Fog,193<br />
2014-1-11,0,-6,-12,-11,-15,-19,85,64,29,1036,1025,1021,19,2,0,14,5,,0.00,4,Fog,192<br />
2014-1-12,5,-2,-11,-7,-14,-18,79,59,26,1028,1022,1019,19,2,0,14,5,,0.00,3,,200<br />
2014-1-13,6,0,-7,-8,-11,-14,92,65,15,1026,1021,1018,19,2,0,14,5,,0.00,6,Fog,172<br />
2014-1-14,6,-2,-9,-7,-9,-13,93,70,33,1027,1022,1017,19,2,0,11,5,,0.00,4,Fog,92<br />
2014-1-15,8,1,-6,1,-7,-12,100,75,25,1030,1020,1015,19,3,0,29,6,,1.02,6,Fog-Rain-Snow,206<br />
2014-1-16,3,0,-3,1,-2,-4,100,93,60,1037,1029,1026,19,5,0,32,8,,4.06,7,Fog-Snow,20<br />
2014-1-17,2,-6,-13,-4,-9,-15,100,85,26,1041,1035,1030,19,4,0,18,6,,5.08,3,Fog-Snow,116<br />
2014-1-18,1,-5,-11,-4,-11,-18,100,81,37,1036,1025,1021,19,3,0,14,5,,0.00,2,Fog,191<br />
2014-1-19,9,1,-8,-4,-11,-13,86,65,25,1028,1023,1021,19,2,0,11,5,,0.00,5,Fog,162<br />
2014-1-20,12,4,-4,-4,-8,-12,93,62,15,1024,1019,1017,10,2,0,14,5,,0.00,6,Fog,167<br />
2014-1-21,4,1,-3,0,-2,-6,100,83,39,1024,1018,1014,10,4,1,14,5,,2.03,8,Fog-Rain-Snow,347<br />
2014-1-22,-6,-7,-8,-3,-6,-9,100,92,82,1030,1024,1021,10,7,1,14,6,,2.03,8,Fog-Snow,348<br />
2014-1-23,-5,-8,-10,-7,-9,-11,100,89,66,1030,1024,1020,10,7,1,18,8,,2.03,8,Fog-Snow,314<br />
2014-1-24,4,-2,-9,-4,-8,-13,100,79,39,1025,1016,1011,10,2,1,26,6,,0.76,6,Fog,230<br />
2014-1-25,6,2,-1,1,-2,-5,100,83,52,1026,1018,1013,10,4,0,21,10,,7.11,7,Fog-Rain-Snow,188<br />
2014-1-26,10,4,-2,2,-1,-4,100,93,57,1025,1020,1016,10,3,0,18,8,,7.11,7,Fog,357<br />
2014-1-27,4,1,-3,0,-2,-8,100,93,28,1026,1019,1015,10,3,1,21,6,,3.05,8,Fog-Rain-Snow-Hail,215<br />
