
GST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2014-1-1,22,17,12,11,7,4,59,46,22,1023,1021,1018,10,9,8,32,11,,0.00,,,92<br />
2014-1-2,23,18,14,12,11,8,68,55,36,1023,1021,1019,10,9,8,19,5,,0.00,1,,92<br />
2014-1-3,24,19,14,15,13,11,77,61,38,1023,1020,1019,11,10,10,14,6,,0.00,1,,271<br />
2014-1-4,24,21,18,14,12,11,73,58,37,1022,1019,1018,10,10,8,26,13,,0.00,3,,269<br />
2014-1-5,23,19,16,14,12,9,68,55,43,1022,1018,1016,10,10,8,14,6,,0.00,2,,76<br />
2014-1-6,24,20,16,13,12,9,72,54,38,1018,1015,1013,10,10,9,35,11,,0.00,1,,105<br />
2014-1-7,28,23,18,18,13,9,94,56,26,1017,1013,1010,10,9,6,23,11,,3.05,5,Rain,189<br />
2014-1-8,21,19,17,16,14,12,88,71,51,1022,1018,1015,10,10,9,23,13,,0.25,4,,281<br />
2014-1-9,21,18,15,13,12,10,82,62,40,1023,1020,1018,14,10,8,16,8,,0.00,2,,105<br />
2014-1-10,21,19,17,13,11,8,73,57,37,1025,1022,1020,10,10,8,24,13,,0.00,5,Rain,60<br />
2014-1-11,22,17,12,11,9,5,82,55,27,1024,1021,1019,10,10,8,27,8,,0.00,6,,86<br />
2014-1-12,22,19,17,14,12,9,73,60,45,1024,1022,1020,10,10,10,10,5,,0.00,5,,246<br />
2014-1-13,23,19,16,16,13,12,77,65,53,1024,1021,1019,10,10,8,16,8,,0.00,3,,288<br />
2014-1-14,23,19,16,13,12,11,72,60,43,1022,1020,1018,14,10,10,21,10,,0.00,2,,264<br />
2014-1-15,23,20,16,15,13,12,78,64,44,1022,1020,1019,10,9,8,19,10,,0.00,1,,156<br />
2014-1-16,23,19,16,17,15,14,88,72,54,1022,1020,1017,10,8,5,16,8,,0.00,2,,326<br />
2014-1-17,22,20,18,14,12,11,68,56,39,1023,1020,1018,10,10,8,21,11,,0.00,2,Rain,22<br />
2014-1-18,23,19,14,13,11,6,68,54,33,1020,1018,1016,11,9,8,32,10,,0.00,1,,94<br />
2014-1-19,25,21,18,12,9,8,56,42,26,1021,1018,1017,10,10,8,23,11,,0.00,4,Rain,151<br />
2014-1-20,21,18,16,16,14,11,94,68,37,1021,1019,1017,10,9,5,29,14,,3.05,4,Rain-Thunderstorm,272<br />
2014-1-21,22,19,16,14,13,12,77,65,46,1022,1020,1019,10,10,8,23,10,,0.00,3,,264<br />
2014-1-22,23,19,15,15,13,12,82,65,43,1023,1021,1019,10,10,10,14,8,,0.00,2,,193<br />
2014-1-23,23,19,15,15,13,10,82,66,44,1023,1020,1018,10,9,8,26,8,,0.00,,,116<br />
2014-1-24,23,19,14,15,13,12,82,66,43,1021,1019,1017,10,9,8,21,6,,0.00,3,,39<br />
2014-1-25,24,20,16,17,14,11,78,66,45,1021,1018,1017,10,10,10,19,8,,0.00,1,,173<br />
2014-1-26,23,19,15,18,15,11,78,69,57,1021,1019,1018,31,11,8,16,8,,0.00,,,17<br />
2014-1-27,23,19,15,17,16,13,88,74,59,1022,1019,1017,11,10,10,23,6,,0.00,4,,77<br />
2014-1-28,23,19,15,17,16,13,94,76,58,1021,1018,1017,14,10,10,19,5,,0.00,1,,59<br />
2014-1-29,24,20,16,18,17,15,88,74,58,1019,1017,1015,10,9,8,16,6,,0.00,3,,341<br />
2014-1-30,27,22,17,20,16,12,88,68,38,1018,1016,1014,10,9,8,14,6,,0.00,5,,333<br />
2014-1-31,25,21,17,20,18,13,88,77,39,1018,1015,1014,10,8,6,13,5,,0.00,3,,19<br />
2014-2-1,27,22,18,20,17,13,94,74,50,1017,1014,1012,10,9,6,21,8,,0.00,3,,321<br />
2014-2-2,26,22,18,20,18,14,94,76,41,1016,1014,1012,10,8,5,16,6,,0.00,3,,342<br />
2014-2-3,25,22,19,20,18,16,94,78,53,1018,1014,1011,10,8,6,35,11,,0.00,2,,57<br />
2014-2-4,25,22,18,21,19,17,94,82,61,1013,1011,1009,8,7,5,14,8,,0.00,2,,313<br />
2014-2-5,24,22,19,21,20,19,94,84,65,1011,1009,1007,8,7,3,16,8,,0.00,2,,359<br />
2014-2-6,24,22,20,19,14,11,78,58,37,1015,1012,1010,10,8,8,23,13,,0.00,4,,292<br />
