
ULAT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2014-1-1,-4,-11,-19,-12,-16,-21,92,72,37,1021,1009,1005,10,10,10,14,6,,0.76,3,,182<br />
2014-1-2,-6,-13,-21,-13,-18,-24,92,74,46,1034,1015,1007,10,8,0,11,6,,2.29,6,,170<br />
2014-1-3,-10,-18,-25,-17,-21,-28,85,77,46,1035,1018,1013,8,5,2,11,3,,2.54,4,,170<br />
2014-1-4,-13,-19,-25,-16,-19,-28,92,82,58,1032,1017,1012,8,4,0,11,3,,0.00,5,Snow,184<br />
2014-1-5,-11,-19,-27,-16,-22,-30,92,78,44,1032,1012,1006,10,5,2,11,5,,0.00,5,Snow,133<br />
2014-1-6,-15,-22,-29,-18,-23,-32,85,75,51,1046,1019,1007,10,8,3,26,10,,0.00,3,Snow,303<br />
2014-1-7,-23,-29,-36,-27,-34,-41,84,71,56,1054,1031,1024,10,7,2,14,5,,9.65,,Snow,168<br />
2014-1-8,-24,-31,-38,-29,-38,-44,76,66,50,1054,1028,1021,6,4,0,11,3,,7.37,,,164<br />
2014-1-9,-22,-29,-37,-28,-36,-42,76,67,44,1047,1022,1017,5,4,0,11,5,,8.64,,,164<br />
2014-1-10,-19,-27,-35,-26,-32,-40,77,69,38,1046,1024,1019,5,3,0,6,5,,8.64,4,,164<br />
2014-1-11,-18,-27,-36,-24,-32,-40,84,71,52,1052,1030,1023,5,4,0,14,3,,7.11,3,,148<br />
2014-1-12,-18,-26,-34,-24,-32,-38,77,69,40,1053,1031,1027,5,4,0,6,5,,14.22,,,168<br />
2014-1-13,-17,-26,-34,-24,-31,-38,77,70,41,1050,1028,1024,5,3,2,11,3,,6.10,6,,170<br />
2014-1-14,-16,-24,-32,-22,-29,-36,84,72,44,1050,1029,1024,5,3,0,11,3,,4.57,6,Fog,167<br />
2014-1-15,-13,-22,-30,-21,-28,-35,84,70,42,1044,1023,1018,10,5,2,11,3,,5.08,,,170<br />
2014-1-16,-14,-21,-29,-19,-27,-35,84,71,47,1047,1026,1019,10,5,0,21,5,,3.81,5,,254<br />
2014-1-17,-13,-22,-32,-20,-28,-36,85,73,42,1049,1028,1024,8,4,0,11,3,,4.06,5,Fog,160<br />
2014-1-18,-10,-19,-29,-18,-24,-33,85,71,36,1044,1020,1013,10,6,2,14,3,,1.27,6,Snow,210<br />
2014-1-19,-13,-20,-28,-17,-21,-31,85,75,50,1049,1026,1016,10,9,2,29,13,,0.51,4,Snow,323<br />
2014-1-20,-14,-23,-32,-20,-28,-36,85,72,44,1051,1030,1023,8,4,0,11,3,,4.06,,,174<br />
2014-1-21,-11,-20,-29,-19,-27,-33,77,68,33,1041,1019,1012,5,5,0,11,3,,2.29,,,170<br />
2014-1-22,-7,-16,-24,-15,-21,-29,84,68,30,1027,1008,1002,10,5,0,14,3,,2.03,4,,182<br />
2014-1-23,-8,-17,-25,-15,-22,-27,85,74,41,1031,1010,1004,19,4,0,14,5,,3.81,3,,159<br />
2014-1-24,-15,-23,-32,-18,-28,-36,94,69,20,1046,1023,1014,19,7,0,26,6,,5.59,1,,197<br />
2014-1-25,-13,-23,-34,-22,-30,-38,76,61,25,1047,1023,1011,8,5,2,14,5,,11.18,,,169<br />
2014-1-26,-9,-17,-25,-17,-23,-31,77,62,30,1028,1009,1004,10,5,2,21,6,,7.37,5,,275<br />
2014-1-27,-16,-22,-29,-19,-26,-33,84,72,46,1042,1021,1012,10,7,0,26,10,,2.29,3,,233<br />
2014-1-28,-9,-16,-22,-15,-22,-31,84,66,30,1029,1005,998,8,5,0,11,3,,1.27,5,,173<br />
2014-1-29,-16,-22,-30,-17,-24,-33,78,66,36,1033,1011,998,10,8,2,29,13,,6.35,4,,320<br />
2014-1-30,-14,-23,-32,-22,-29,-37,77,66,36,1033,1010,1005,8,5,2,11,5,,5.84,,,164<br />
2014-1-31,-8,-17,-25,-17,-24,-33,77,61,22,1029,1010,1004,19,7,2,14,5,,1.02,5,,181<br />
2014-2-1,-11,-19,-28,-11,-22,-31,93,71,42,1037,1009,997,10,8,0,32,10,,1.02,5,Snow,314<br />
2014-2-2,-19,-27,-35,-26,-31,-39,77,64,22,1046,1022,1016,10,9,3,14,6,,7.87,3,Snow,192<br />
2014-2-3,-20,-28,-36,-29,-34,-41,75,56,32,1047,1026,1020,10,4,2,21,8,,2.29,,,190<br />
2014-2-4,-18,-27,-36,-27,-33,-41,75,61,34,1047,1023,1018,8,5,2,11,5,,4.57,5,,161<br />
2014-2-5,-18,-27,-36,-26,-32,-41,76,65,37,1048,1025,1021,6,3,0,6,3,,8.38,4,,166<br />
2014-2-6,-14,-22,-30,-21,-27,-34,77,65,37,1044,1025,1020,6,3,2,14,5,,8.64,4,,192<br />
2014-2-7,-16,-22,-30,-21,-26,-34,84,66,34,1047,1024,1020,19,5,2,29,5,,0.00,5,Snow,335<br />
2014-2-8,-18,-27,-35,-23,-31,-39,84,68,46,1054,1032,1025,19,8,2,14,5,,6.86,,,169<br />
2014-2-9,-18,-27,-35,-24,-32,-40,77,68,45,1055,1030,1023,10,5,2,11,5,,6.60,,,163<br />
2014-2-10,-18,-25,-32,-24,-31,-38,77,68,40,1046,1023,1018,10,5,2,14,5,,10.92,5,,184<br />
2014-2-11,-19,-27,-36,-23,-31,-40,77,69,48,1045,1022,1018,10,5,0,11,5,,9.14,3,,178<br />
2014-2-12,-16,-26,-35,-23,-31,-40,77,66,39,1046,1023,1018,10,5,1,11,3,,5.08,,,174<br />
2014-2-13,-17,-26,-35,-24,-31,-39,77,67,41,1041,1020,1015,10,5,2,14,5,,5.08,4,,185<br />
2014-2-14,-18,-27,-35,-24,-32,-40,77,66,39,1040,1017,1012,10,4,0,18,5,,5.59,,,189<br />
2014-2-15,-18,-27,-37,-25,-33,-41,77,63,29,1043,1019,1013,10,4,2,14,5,,2.79,,,185<br />
2014-2-16,-17,-27,-37,-25,-33,-41,75,60,24,1048,1026,1019,19,5,2,14,5,,4.32,,,186<br />
2014-2-17,-16,-26,-35,-24,-31,-40,76,61,33,1051,1029,1025,10,5,0,14,3,,7.11,,,187<br />
2014-2-18,-16,-26,-35,-23,-32,-40,76,62,30,1051,1025,1016,19,5,0,11,5,,7.11,,,182<br />
2014-2-19,-9,-20,-32,-17,-27,-36,77,61,18,1036,1015,1011,10,5,0,11,5,,7.62,6,,221<br />
2014-2-20,-4,-14,-26,-12,-22,-30,78,63,24,1030,1015,1011,8,5,2,11,5,,3.30,4,,159<br />
2014-2-21,-2,-13,-24,-10,-18,-27,85,64,24,1035,1020,1016,10,5,2,14,5,,2.54,,,174<br />
2014-2-22,1,-10,-20,-9,-14,-23,78,58,23,1034,1021,1017,10,9,2,32,11,,2.54,6,,137<br />
2014-2-23,1,-7,-15,-6,-12,-18,85,67,29,1028,1017,1015,10,9,2,18,6,,0.00,5,,198<br />
2014-2-24,2,-7,-14,-6,-12,-18,92,69,22,1028,1015,1012,10,10,8,18,6,,1.02,5,,206<br />
2014-2-25,-6,-11,-15,-10,-15,-20,86,76,52,1037,1020,1016,10,7,0,29,10,43,0.51,6,Snow,24<br />
2014-2-26,-13,-18,-25,-19,-24,-29,78,60,17,1045,1027,1021,10,9,2,26,16,,6.86,3,,305<br />
2014-2-27,-12,-21,-30,-19,-25,-34,78,62,20,1046,1024,1016,10,7,2,18,5,,4.32,5,,206<br />
2014-2-28,-10,-17,-24,-18,-22,-27,85,65,29,1036,1020,1015,10,9,3,21,6,,0.00,4,Snow,211<br />
2014-3-1,-9,-18,-28,-17,-24,-32,84,67,32,1038,1020,1016,10,6,2,14,6,,1.78,,,181<br />
2014-3-2,-8,-18,-28,-16,-23,-32,84,66,31,1038,1020,1015,10,7,2,14,6,,1.78,1,,184<br />
