
MMT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2014-1-1,28,21,14,18,15,13,87,62,33,1017,1014,1012,8,6,5,2,0,,0.00,,,-1<br />
2014-1-2,29,21,14,17,14,13,87,59,30,1015,1013,1011,8,6,5,2,0,,0.00,,,-1<br />
2014-1-3,28,21,14,18,15,11,91,62,23,1016,1014,1011,8,6,5,2,0,,0.00,,,-1<br />
2014-1-4,29,21,14,26,17,13,87,68,36,1015,1013,1010,8,6,3,2,0,,0.00,,,-1<br />
2014-1-5,28,21,14,18,16,13,87,63,34,1014,1012,1009,8,6,5,2,0,,0.00,,,-1<br />
2014-1-6,30,22,14,19,16,13,87,62,35,1013,1011,1009,8,6,5,2,0,,0.00,,Fog,-1<br />
2014-1-7,29,22,15,17,16,14,87,61,34,1014,1012,1011,8,6,5,2,0,,0.00,,,-1<br />
2014-1-8,29,21,14,17,15,12,90,61,24,1015,1013,1011,8,6,5,2,0,,0.00,,,-1<br />
2014-1-9,29,21,13,17,15,12,88,54,28,1016,1012,1009,8,6,5,2,0,,0.00,,,-1<br />
2014-1-10,29,21,14,18,14,13,79,56,35,1016,1013,1011,8,6,5,2,0,,0.00,,,-1<br />
2014-1-11,29,22,14,18,16,13,87,60,35,1018,1015,1014,8,6,5,2,0,,0.00,,,-1<br />
2014-1-12,31,23,15,18,16,14,90,61,34,1017,1014,1011,8,6,5,2,0,,0.00,,,-1<br />
2014-1-13,29,21,14,17,14,13,87,57,29,1018,1015,1013,8,7,5,3,2,,0.00,,,-1<br />
2014-1-14,29,20,14,18,16,13,87,67,44,1015,1014,1012,6,5,3,2,0,,0.00,,,-1<br />
2014-1-15,32,23,16,17,16,14,86,56,28,1018,1015,1012,8,6,5,2,0,,0.00,,,-1<br />
2014-1-16,31,23,16,19,16,12,86,56,23,1017,1015,1013,8,6,5,2,0,,0.00,,,-1<br />
2014-1-17,30,23,16,17,16,15,86,57,30,1019,1016,1014,8,6,5,2,0,,0.00,,,-1<br />
2014-1-18,29,22,15,19,16,14,86,62,35,1020,1017,1015,8,6,5,2,0,,0.00,,,-1<br />
2014-1-19,31,26,19,21,17,15,76,54,32,1019,1017,1014,8,7,5,2,0,,0.00,,,-1<br />
2014-1-20,31,24,18,19,17,14,78,55,30,1019,1016,1015,8,6,5,2,0,,0.00,,,-1<br />
2014-1-21,29,22,15,17,15,13,87,60,35,1020,1017,1015,8,7,5,2,0,,0.00,,,-1<br />
2014-1-22,31,23,15,17,15,12,86,59,23,1019,1017,1014,8,5,3,2,0,,0.00,,,-1<br />
2014-1-23,30,22,15,17,15,14,90,57,30,1019,1016,1013,8,6,5,2,0,,0.00,,,-1<br />
2014-1-24,30,21,14,17,14,13,87,64,34,1015,1014,1011,8,6,5,2,0,,0.00,,,-1<br />
2014-1-25,31,22,15,17,16,14,86,58,35,1014,1013,1010,8,6,5,2,0,,0.00,,,-1<br />
