
WET,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2014-1-1,19,12,6,4,2,-1,81,54,21,1026,1023,1022,10,9,6,11,3,,0.00,3,,200<br />
2014-1-2,21,12,4,4,2,-2,87,55,15,1025,1024,1022,10,9,6,10,5,,0.00,3,,130<br />
2014-1-3,22,13,6,4,2,0,76,50,16,1027,1025,1023,10,8,4,10,5,,0.00,,,183<br />
2014-1-4,20,12,5,11,7,2,93,69,34,1029,1027,1025,10,9,8,14,8,,0.00,3,,63<br />
2014-1-5,23,14,6,9,4,1,93,56,16,1027,1023,1019,10,9,8,13,8,,0.00,1,,69<br />
2014-1-6,23,14,6,3,2,-1,76,47,14,1023,1021,1019,10,8,5,10,5,,0.00,,,80<br />
2014-1-7,26,16,5,2,0,-3,71,40,7,1022,1020,1016,10,8,5,11,6,,0.00,,,76<br />
2014-1-8,27,16,4,1,-1,-3,57,32,7,1021,1018,1013,10,10,9,19,8,,0.00,,,76<br />
2014-1-9,25,18,10,0,-1,-6,50,33,6,1016,1013,1008,10,9,8,26,6,,0.00,3,,111<br />
2014-1-10,21,17,13,11,6,1,88,48,20,1016,1012,1008,10,8,2,29,14,45,2.03,3,Rain,260<br />
2014-1-11,19,14,9,11,8,5,100,67,34,1022,1019,1016,10,8,8,14,8,,2.03,3,Rain,76<br />
2014-1-12,21,14,8,10,7,5,93,66,25,1026,1024,1017,10,8,5,14,5,,0.00,6,,268<br />
2014-1-13,19,13,7,12,8,5,94,72,43,1027,1026,1023,10,8,6,14,10,,0.51,5,,262<br />
2014-1-14,18,14,10,11,6,3,94,60,30,1027,1024,1022,10,9,8,19,13,,0.00,2,,59<br />
2014-1-15,21,13,5,5,4,3,87,52,22,1023,1020,1016,10,8,6,14,5,,0.00,,,98<br />
2014-1-16,16,12,8,11,8,3,94,73,43,1019,1017,1015,10,9,8,11,5,,0.00,5,Rain,271<br />
2014-1-17,14,12,9,11,9,7,100,89,61,1016,1010,1001,10,8,3,40,11,63,3.05,4,Rain,232<br />
2014-1-18,14,11,8,9,8,7,100,85,63,1013,1009,1005,10,9,6,27,14,,3.05,2,Rain,241<br />
2014-1-19,17,13,8,14,11,5,100,83,57,1018,1014,1010,10,9,5,24,14,40,0.51,5,Rain,249<br />
2014-1-20,14,12,10,11,9,6,100,79,53,1021,1019,1018,10,9,6,14,6,,0.00,6,Rain,58<br />
2014-1-21,16,11,7,8,7,6,100,76,45,1023,1022,1020,10,10,5,14,6,,0.00,2,,49<br />
2014-1-22,13,10,7,12,9,6,100,90,73,1023,1021,1019,10,9,5,11,5,,6.10,6,Rain,180<br />
2014-1-23,13,11,9,11,9,6,100,86,58,1025,1022,1020,10,9,3,21,11,,0.00,6,Rain,30<br />
2014-1-24,17,10,4,7,6,3,100,76,34,1029,1026,1025,10,9,6,16,10,,0.00,1,,67<br />
2014-1-25,17,10,3,9,7,4,100,77,41,1030,1027,1025,10,9,6,14,5,,0.00,,,66<br />
2014-1-26,21,12,4,10,8,5,100,75,37,1027,1025,1022,10,9,8,13,8,,0.00,,,62<br />
2014-1-27,19,12,5,12,10,7,100,84,52,1026,1023,1020,10,7,3,14,5,,0.00,,,29<br />
2014-1-28,17,12,8,12,9,8,100,86,59,1023,1017,1014,10,8,0,14,8,,0.00,4,Fog,62<br />
2014-1-29,11,9,7,10,8,6,100,93,71,1015,1011,1008,10,8,2,19,6,,12.95,4,Rain,258<br />
2014-1-30,12,9,7,9,7,5,100,87,51,1023,1017,1013,10,10,6,14,10,,2.03,6,Rain,233<br />
2014-1-31,16,11,6,10,7,6,100,80,44,1023,1022,1020,10,10,7,10,3,,0.00,3,,94<br />
2014-2-1,18,12,6,13,10,7,100,86,50,1024,1021,1018,10,9,5,13,3,,0.00,3,,14<br />
2014-2-2,16,11,6,12,11,9,100,87,59,1021,1019,1017,10,10,6,13,8,,0.00,5,,58<br />
2014-2-3,18,13,8,11,9,6,100,81,40,1021,1019,1016,10,9,2,14,5,,0.00,4,,257<br />
2014-2-4,18,13,8,11,9,8,100,78,49,1022,1020,1017,10,9,2,14,8,,0.00,4,,257<br />
2014-2-5,20,13,7,12,9,7,100,80,48,1023,1021,1019,10,9,6,13,6,,0.00,,,252<br />
2014-2-6,22,14,7,12,9,6,100,74,40,1024,1020,1018,10,10,6,24,8,42,0.00,2,,267<br />
2014-2-7,20,16,11,12,10,8,100,75,45,1026,1023,1019,10,9,7,21,8,,0.00,5,Fog-Rain,50<br />
2014-2-8,20,14,9,9,7,5,100,58,36,1025,1022,1020,10,7,6,14,6,,0.00,,,262<br />
2014-2-9,19,13,8,12,9,6,93,75,41,1024,1020,1017,10,10,9,24,10,,0.00,3,,255<br />
2014-2-10,17,13,9,13,9,5,100,77,44,1026,1023,1019,10,10,7,34,13,60,0.00,4,Rain,356<br />
2014-2-11,20,12,5,8,5,0,100,66,24,1028,1025,1022,10,10,10,11,8,,0.00,,,69<br />
2014-2-12,20,12,4,8,6,4,93,66,32,1027,1025,1023,10,9,8,13,5,,0.00,,,72<br />
2014-2-13,25,16,7,10,8,6,93,68,30,1027,1024,1020,10,10,10,13,6,,0.00,,,100<br />
2014-2-14,26,16,7,9,6,-2,93,50,16,1023,1019,1015,10,9,8,14,6,,0.00,,,42<br />
2014-2-15,20,14,8,12,8,3,94,67,33,1016,1013,1009,10,9,7,23,8,,2.03,4,Rain,328<br />
2014-2-16,16,11,7,11,9,8,94,84,72,1016,1014,1011,10,9,8,19,14,,0.00,5,Rain,40<br />
2014-2-17,13,11,9,8,7,5,87,80,59,1014,1012,1011,10,10,10,13,10,,0.00,6,,247<br />
2014-2-18,16,12,8,9,8,6,96,77,42,1023,1017,1013,10,10,10,23,6,42,2.03,5,Rain,324<br />
2014-2-19,17,11,6,7,6,4,100,70,32,1026,1024,1022,10,10,10,19,10,,0.00,1,,75<br />
2014-2-20,21,13,5,7,4,1,100,52,20,1026,1024,1022,10,10,10,16,10,,0.00,,,50<br />
2014-2-21,21,13,6,11,7,3,94,64,20,1025,1023,1021,10,9,5,16,5,,0.00,1,,38<br />
2014-2-22,20,13,6,11,8,5,94,68,32,1025,1021,1016,10,10,7,21,13,,0.00,5,,69<br />
2014-2-23,22,14,7,11,8,6,93,68,29,1020,1017,1013,10,9,8,26,8,,0.00,4,,322<br />
2014-2-24,17,12,6,9,8,7,82,68,45,1024,1021,1019,10,10,10,21,10,,0.00,6,,318<br />
2014-2-25,19,13,8,9,7,2,93,65,24,1025,1022,1020,10,10,10,23,13,,0.00,2,,54<br />
2014-2-26,21,13,6,8,6,2,100,61,26,1029,1026,1023,10,10,10,23,10,,0.00,1,,63<br />
2014-2-27,21,13,6,9,4,-5,93,54,10,1030,1029,1026,10,10,10,24,14,,0.00,,,61<br />
2014-2-28,23,14,7,10,6,2,87,57,16,1029,1027,1023,10,10,10,29,11,34,0.00,,,66<br />
2014-3-1,22,16,10,12,8,3,94,62,19,1028,1024,1021,10,10,10,16,11,,0.00,3,,20<br />
2014-3-2,23,16,8,13,11,8,94,72,33,1024,1021,1017,10,10,8,19,8,,0.00,2,,18<br />
2014-3-3,21,18,14,13,11,8,94,73,37,1022,1020,1018,10,10,10,21,11,,0.00,4,,47<br />
2014-3-4,21,16,9,11,9,7,94,65,30,1022,1020,1017,10,8,6,23,16,,0.00,4,,51<br />
2014-3-5,24,16,8,12,8,3,93,61,22,1021,1018,1014,10,10,10,16,11,,0.00,,,63<br />
