
EAT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2014-1-1,30,22,14,3,-2,-6,31,19,8,1016,1014,1012,19,19,19,23,16,,0.00,,,356<br />
2014-1-2,30,23,16,6,2,-4,37,22,9,1016,1014,1010,19,19,19,26,18,,0.00,,,1<br />
2014-1-3,30,23,16,7,3,0,37,26,17,1017,1014,1012,19,19,19,23,16,,0.00,,,1<br />
2014-1-4,28,22,17,7,2,-3,37,24,7,1015,1013,1010,19,19,19,24,18,,0.00,,,354<br />
2014-1-5,26,21,16,3,-1,-3,37,22,8,1017,1015,1013,19,12,6,32,23,,0.00,,,344<br />
2014-1-6,25,20,15,3,0,-6,42,25,13,1017,1015,1013,19,19,19,43,18,,0.00,,,347<br />
2014-1-7,28,20,13,1,-2,-6,38,21,7,1015,1013,1010,19,15,6,23,14,,0.00,,,345<br />
2014-1-8,29,22,16,3,1,-4,37,24,13,1015,1013,1011,19,19,18,26,16,,0.00,,,343<br />
2014-1-9,29,22,16,3,2,-1,37,24,10,1017,1014,1011,19,19,19,26,19,,0.00,,,337<br />
2014-1-10,24,21,17,3,-1,-4,37,25,8,1020,1017,1015,19,19,19,27,19,,0.00,,,350<br />
2014-1-11,25,19,13,3,-1,-6,48,25,13,1020,1018,1016,19,12,8,34,23,,0.00,,,357<br />
2014-1-12,27,20,13,3,-1,-6,38,24,12,1021,1017,1015,19,19,18,35,19,,0.00,,,9<br />
2014-1-13,29,22,14,5,2,-4,45,28,5,1018,1015,1011,19,19,19,24,16,,0.00,,,5<br />
2014-1-14,31,22,14,4,1,-2,42,24,7,1019,1013,1010,19,19,19,21,11,,0.00,,,333<br />
2014-1-15,32,24,17,5,1,-3,37,22,5,1016,1014,1010,19,16,0,21,11,,0.00,,,348<br />
2014-1-16,34,26,18,5,1,-5,37,21,9,1017,1014,1010,19,13,6,19,11,,0.00,,,334<br />
2014-1-17,33,26,18,5,2,-1,35,20,7,1017,1015,1011,19,19,19,43,18,,0.00,,,349<br />
2014-1-18,31,23,17,2,-4,-10,28,14,4,1017,1014,1011,19,19,19,23,18,,0.00,,,349<br />
2014-1-19,31,23,17,10,3,-9,35,23,10,1017,1014,1010,19,19,18,35,19,,0.00,,,9<br />
2014-1-20,31,24,18,9,4,-4,37,27,10,1017,1014,1010,19,17,8,23,14,,0.00,,,355<br />
2014-1-21,32,24,18,15,7,4,39,30,20,1015,1013,1010,19,13,8,23,10,,0.00,,,2<br />
2014-1-22,34,27,20,11,8,7,49,30,10,1014,1011,1006,19,17,10,23,14,,0.00,,,1<br />
2014-1-23,35,28,20,14,9,4,50,31,14,1013,1011,1006,19,18,14,26,16,,0.00,,,7<br />
2014-1-24,34,27,20,16,11,7,56,35,19,1013,1010,1006,19,19,19,27,16,,0.00,,,357<br />
2014-1-25,34,27,21,14,10,5,60,34,9,1011,1009,1004,19,16,6,24,14,,0.00,,,3<br />
2014-1-26,35,27,19,9,7,2,49,27,9,1010,1008,1003,19,9,6,11,8,,0.00,,,347<br />
2014-1-27,38,29,20,7,4,2,35,20,6,1010,1007,1003,19,10,2,21,10,,0.00,,,356<br />
2014-1-28,36,29,21,6,4,1,33,19,6,1011,1008,1003,19,17,8,26,14,,0.00,,,1<br />
2014-1-29,36,29,23,8,3,-1,27,18,9,1013,1010,1007,19,10,3,32,18,,0.00,,,350<br />
2014-1-30,36,29,23,9,6,3,29,22,10,1013,1011,1007,19,19,19,27,19,,0.00,,,360<br />
2014-1-31,37,29,22,12,6,1,39,22,7,1012,1010,1005,19,19,14,29,21,,0.00,,,6<br />
2014-2-1,35,28,22,10,5,-1,32,21,11,1011,1009,1003,19,19,19,26,18,,0.00,,,2<br />
2014-2-2,36,28,19,8,3,-4,35,20,5,1011,1008,1004,19,13,4,19,13,,0.00,,,340<br />
2014-2-3,35,28,22,1,-2,-6,20,13,4,1012,1010,1006,19,19,19,27,18,,0.00,,,348<br />
2014-2-4,33,27,20,2,-1,-5,25,17,7,1014,1011,1009,19,9,4,24,18,,0.00,,,347<br />
2014-2-5,31,24,19,6,-6,-96,25,15,4,1013,1011,1008,19,16,10,26,18,,0.00,,,348<br />
2014-2-6,30,23,17,3,-1,-6,30,19,9,1014,1012,1007,19,19,18,35,19,,0.00,,,350<br />
2014-2-7,30,23,16,0,-3,-7,30,16,5,1016,1013,1009,19,12,4,34,18,,0.00,,,355<br />
2014-2-8,28,21,14,1,-3,-9,34,18,5,1017,1014,1010,19,18,14,27,19,,0.00,,,359<br />
2014-2-9,29,22,16,3,-1,-4,27,20,7,1016,1014,1012,19,19,19,27,16,,0.00,,,351<br />
2014-2-10,29,22,15,5,2,-2,34,23,14,1014,1012,1010,19,17,11,29,16,,0.00,,,348<br />
2014-2-11,29,23,17,4,1,-2,32,22,9,1015,1012,1006,19,19,19,26,16,,0.00,,,355<br />
2014-2-12,31,23,15,6,0,-5,37,20,6,1013,1011,1007,19,16,8,180,14,,0.00,,,344<br />
2014-2-13,31,26,20,6,-2,-9,33,14,5,1013,1011,1007,19,19,19,26,16,,0.00,,,327<br />
2014-2-14,31,25,19,3,-1,-4,24,17,7,1016,1013,1010,19,9,4,182,19,,0.00,,,331<br />
2014-2-15,28,22,17,0,-4,-9,27,17,4,1018,1015,1011,19,8,3,34,26,,0.00,,,345<br />
2014-2-16,28,22,15,-1,-5,-9,31,16,5,1017,1014,1010,8,6,4,34,19,,0.00,,,354<br />
2014-2-17,28,22,16,3,-1,-6,42,23,14,1017,1015,1013,19,10,8,37,21,,0.00,,,354<br />
2014-2-18,29,22,16,8,3,-4,43,25,11,1017,1015,1012,19,15,2,130,19,,0.00,,,4<br />
2014-2-19,32,24,18,8,3,0,37,25,11,1016,1014,1009,19,14,8,29,16,,0.00,,,358<br />
2014-2-20,34,27,19,13,6,-1,44,27,15,1015,1012,1010,19,13,6,23,14,,0.00,,,3<br />
2014-2-21,35,28,21,7,3,1,33,21,8,1014,1011,1006,19,19,19,19,11,,0.00,,,350<br />
2014-2-22,35,28,21,7,4,1,31,20,9,1013,1010,1006,19,19,19,23,11,,0.00,,,347<br />
2014-2-23,36,29,23,5,3,1,27,18,7,1012,1009,1003,19,16,8,26,16,,0.00,,,347<br />
2014-2-24,34,28,22,2,-1,-4,20,14,5,1013,1009,1004,19,19,19,43,18,,0.00,,,339<br />
2014-2-25,34,27,20,6,2,-2,25,19,10,1013,1010,1007,19,13,6,29,19,,0.00,,,341<br />
2014-2-26,35,27,19,9,4,1,31,22,11,1014,1010,1005,19,12,8,26,19,,0.00,,,357<br />
2014-2-27,34,27,20,9,4,-2,29,20,12,1013,1011,1006,19,19,18,24,18,,0.00,,,359<br />
2014-2-28,36,29,22,14,4,-1,37,20,9,1012,1009,1007,19,18,14,23,13,,0.00,,,1<br />
2014-3-1,40,32,24,14,7,1,39,22,6,1010,1008,1003,19,17,6,19,10,,0.00,,,8<br />
2014-3-2,40,32,25,15,6,3,36,20,11,1009,1006,1004,19,12,8,29,14,,0.00,,,26<br />
2014-3-3,39,33,27,11,7,2,25,18,9,1010,1006,1001,19,17,10,37,18,,0.00,,,10<br />
2014-3-4,31,29,27,11,8,7,37,26,16,1012,1010,1005,19,12,6,45,24,,0.00,,Rain,32<br />
2014-3-5,38,31,25,12,7,2,39,22,11,1013,1010,1008,19,15,10,26,13,,0.00,6,,11<br />
2014-3-6,38,33,28,10,4,1,22,17,9,1012,1009,1004,19,13,8,29,18,,0.00,1,,31<br />
2014-3-7,40,33,26,9,3,-1,32,16,6,1011,1008,1005,19,18,18,29,21,,0.00,,,41<br />
2014-3-8,40,32,25,9,4,-1,23,15,5,1010,1007,1000,19,18,11,34,18,,0.00,,,45<br />
2014-3-9,40,33,26,11,7,4,31,19,8,1007,1005,1000,19,8,2,21,10,,0.00,1,,330<br />
2014-3-10,35,30,26,13,9,6,44,25,18,1010,1007,1003,8,3,0,29,16,,0.00,,,332<br />
2014-3-11,34,30,25,8,2,-6,24,17,5,1014,1011,1009,19,11,6,27,18,,0.00,,,346<br />
2014-3-12,33,28,23,-3,-8,-14,17,9,5,1018,1014,1005,19,19,18,34,21,,0.00,,,355<br />
2014-3-13,32,25,18,18,-4,-9,48,14,4,1018,1016,1011,19,12,6,34,21,,0.00,,,358<br />
2014-3-14,31,24,18,-3,-7,-9,20,13,4,1019,1016,1012,19,19,19,35,19,,0.00,,,350<br />
2014-3-15,31,24,17,-3,-8,-12,22,12,4,1018,1015,1011,19,8,6,34,21,,0.00,,,8<br />
2014-3-16,35,27,18,1,-8,-17,22,10,4,1016,1013,1009,19,19,19,29,16,,0.00,,,17<br />
2014-3-17,37,29,21,3,-4,-8,24,12,5,1013,1011,1009,19,19,19,16,11,,0.00,,,359<br />
2014-3-18,39,31,22,-1,-7,-13,14,8,4,1013,1010,1007,19,19,18,26,13,,0.00,,,354<br />
2014-3-19,40,32,24,-4,-9,-15,10,6,4,1012,1010,1003,19,13,8,34,19,,0.00,,,2<br />
2014-3-20,38,30,23,1,-4,-11,18,10,4,1013,1010,1006,19,11,8,29,19,,0.00,,,345<br />
2014-3-21,36,29,22,0,-5,-13,17,11,5,1012,1010,1008,19,19,19,29,16,,0.00,,,340<br />
2014-3-22,36,28,21,-1,-7,-12,13,9,4,1012,1009,1007,19,19,19,34,19,,0.00,,,345<br />
2014-3-23,37,30,22,0,-6,-9,17,9,4,1011,1008,1002,19,17,10,29,18,,0.00,,,352<br />
2014-3-24,38,31,23,-2,-5,-9,17,9,4,1012,1009,1006,19,18,14,26,18,,0.00,,,356<br />
2014-3-25,38,32,25,3,-7,-13,18,9,4,1012,1010,1004,19,19,19,37,23,,0.00,,,18<br />
2014-3-26,38,31,24,-3,-7,-13,13,8,4,1014,1010,1006,19,19,19,208,23,,0.00,,,22<br />
2014-3-27,38,30,22,-2,-6,-12,12,8,4,1012,1009,1005,19,19,18,26,18,,0.00,,,20<br />
2014-3-28,38,31,24,-1,-6,-13,17,9,4,1013,1009,1004,19,19,19,26,16,,0.00,,,1<br />
