
WAT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2014-1-1,32,27,22,26,25,24,100,83,58,1012,1010,1008,10,9,4,11,2,,0.00,3,Thunderstorm,232<br />
2014-1-2,32,27,22,26,25,24,100,84,59,1012,1009,1007,10,9,4,11,2,,0.00,3,Thunderstorm,200<br />
2014-1-3,32,28,25,25,24,23,100,83,56,1012,1010,1008,10,8,2,11,2,,0.00,4,,150<br />
2014-1-4,33,27,21,26,24,22,100,81,54,1012,1010,1008,10,8,3,14,2,,0.00,6,,275<br />
2014-1-5,33,28,24,26,24,24,98,81,57,1012,1010,1007,10,7,0,19,2,,0.00,5,Fog,264<br />
2014-1-6,32,27,22,26,24,23,100,82,54,1011,1009,1007,10,7,2,14,2,,0.00,4,,188<br />
2014-1-7,33,28,23,25,24,22,100,81,52,1012,1009,1007,10,7,3,14,2,,0.00,3,,306<br />
2014-1-8,32,26,20,25,23,21,94,77,47,1012,1010,1008,10,6,2,14,2,,0.00,2,,243<br />
2014-1-9,32,29,25,25,24,23,95,80,53,1012,1010,1007,10,8,2,14,3,,0.00,3,,203<br />
2014-1-10,33,29,24,26,25,24,100,82,57,1013,1010,1008,10,7,0,11,2,,0.00,3,Fog,223<br />
2014-1-11,33,28,23,26,25,24,100,83,55,1013,1011,1008,10,7,2,11,2,,0.00,5,Rain,209<br />
2014-1-12,32,28,23,26,24,23,100,83,59,1015,1012,1010,10,7,3,14,2,,0.00,4,Thunderstorm,248<br />
2014-1-13,33,28,23,26,23,19,100,79,43,1014,1012,1010,10,6,2,14,3,,0.00,4,,250<br />
2014-1-14,33,27,22,26,24,22,100,81,51,1013,1011,1008,10,6,2,19,3,24,0.00,5,,257<br />
2014-1-15,33,28,22,26,24,24,100,82,56,1013,1011,1009,10,6,2,11,2,,0.00,5,Thunderstorm,240<br />
2014-1-16,33,29,25,26,26,24,100,82,57,1014,1012,1009,10,8,2,14,3,,0.00,4,Thunderstorm,209<br />
2014-1-17,31,28,24,28,26,25,100,85,60,1014,1012,1009,10,9,1,14,3,,0.00,3,Thunderstorm,253<br />
2014-1-18,33,29,25,27,26,25,100,83,53,1014,1011,1009,10,8,2,23,3,,0.00,3,,263<br />
2014-1-19,33,29,25,27,26,24,100,85,59,1014,1012,1009,10,6,1,19,3,,0.00,6,,231<br />
2014-1-20,33,28,23,26,25,24,100,83,53,1014,1012,1009,10,7,2,19,2,,0.00,2,,230<br />
2014-1-21,33,28,23,26,26,24,100,81,52,1012,1010,1008,19,9,4,14,3,,0.00,3,Thunderstorm,248<br />
2014-1-22,33,29,24,27,26,25,100,86,61,1012,1010,1008,10,9,3,14,3,,0.00,5,Rain-Thunderstorm,210<br />
2014-1-23,33,28,24,26,25,24,94,84,56,1012,1010,1007,10,8,2,19,3,,0.00,3,,178<br />
2014-1-24,33,29,25,26,26,25,100,85,61,1011,1009,1007,10,8,2,19,5,,0.00,4,Thunderstorm,219<br />
2014-1-25,33,29,25,26,26,25,100,84,60,1011,1009,1007,10,9,4,23,5,29,0.00,1,Thunderstorm,243<br />
2014-1-26,33,28,23,26,25,23,100,80,54,1012,1010,1007,19,9,3,14,3,,0.00,4,Rain-Thunderstorm,258<br />
2014-1-27,33,29,24,26,26,24,100,84,54,1012,1010,1007,10,9,3,14,2,,0.00,3,,216<br />
2014-1-28,33,29,24,26,26,24,97,81,51,1010,1008,1006,19,9,2,14,5,,0.00,3,Thunderstorm,175<br />
2014-1-29,34,29,23,26,25,25,100,91,79,1011,1009,1007,10,9,4,8,2,,13.97,4,Thunderstorm,160<br />
2014-1-30,33,29,26,26,26,25,97,79,59,1011,1009,1006,10,10,7,14,3,,0.00,3,Thunderstorm,249<br />
2014-1-31,32,28,24,26,25,24,100,83,63,1012,1009,1007,10,9,4,14,3,,0.00,2,Rain-Thunderstorm,234<br />
2014-2-1,31,28,26,26,26,25,100,85,66,1012,1010,1007,10,9,3,19,3,,0.00,3,Thunderstorm,227<br />
2014-2-2,27,25,23,25,24,22,95,88,78,1012,1010,1008,10,9,8,19,3,39,0.00,5,Rain-Thunderstorm,156<br />
2014-2-3,32,28,23,25,24,22,100,84,59,1011,1009,1007,10,9,4,14,3,,0.00,4,,224<br />
2014-2-4,33,29,24,26,25,24,100,83,58,1011,1009,1007,10,9,4,19,3,,0.00,2,Thunderstorm,218<br />
2014-2-5,33,28,23,26,25,24,100,82,54,1011,1009,1007,10,8,2,14,2,,0.00,4,Thunderstorm,267<br />
2014-2-6,33,29,24,26,25,23,94,80,51,1011,1009,1007,10,8,3,19,3,,0.00,3,Thunderstorm,255<br />
2014-2-7,33,29,24,26,24,5,100,81,50,1016,1011,1009,10,8,2,19,3,,0.00,4,Thunderstorm,274<br />
2014-2-8,34,30,26,26,25,24,94,81,56,1013,1010,1008,10,8,2,14,3,,0.00,3,Thunderstorm,218<br />
2014-2-9,34,30,26,26,26,24,94,82,59,1012,1010,1008,10,8,2,19,3,,0.00,4,,216<br />
2014-2-10,33,29,25,26,26,24,94,83,56,1012,1010,1008,10,8,2,14,2,,0.00,3,Thunderstorm,272<br />
2014-2-11,34,30,26,26,25,23,94,79,52,1012,1010,1007,10,8,2,14,3,,0.00,3,Thunderstorm,257<br />
2014-2-12,34,29,24,26,25,23,97,80,53,1012,1010,1007,10,8,3,19,3,,0.00,4,,230<br />
2014-2-13,34,29,25,26,26,24,96,81,53,1011,1009,1007,10,8,2,19,3,,0.00,4,Thunderstorm,210<br />
2014-2-14,34,29,24,26,25,24,100,83,51,1012,1010,1007,10,8,2,19,5,,0.00,2,Thunderstorm,220<br />
2014-2-15,33,30,26,26,25,23,92,75,54,1012,1010,1007,10,9,4,14,3,,0.00,3,,248<br />
2014-2-16,33,28,23,26,25,24,100,83,53,1012,1010,1008,10,6,1,14,2,,0.00,2,Rain-Thunderstorm,251<br />
2014-2-17,34,29,23,26,25,24,100,81,52,1012,1010,1006,10,6,2,14,2,,0.00,3,,211<br />
2014-2-18,34,29,24,27,26,24,100,81,52,1012,1010,1008,10,7,1,19,3,,0.00,3,,198<br />
2014-2-19,34,29,24,26,26,25,95,81,55,1013,1011,1008,10,7,1,19,3,,0.00,5,,238<br />
2014-2-20,33,29,24,26,26,24,97,81,56,1013,1010,1007,10,7,2,19,3,,0.00,4,,174<br />
2014-2-21,34,30,26,26,26,25,100,82,53,1011,1009,1006,10,7,2,19,3,,0.00,5,,198<br />
2014-2-22,34,29,25,27,26,25,94,81,62,1010,1009,1006,10,8,2,19,3,,0.00,4,,207<br />
2014-2-23,33,29,26,27,26,23,94,81,66,1011,1008,1006,10,9,1,14,3,,0.00,4,Thunderstorm,243<br />
2014-2-24,33,29,24,26,26,24,100,81,51,1010,1008,1005,10,8,2,19,3,,0.00,3,,261<br />
2014-2-25,33,29,24,26,26,25,95,82,57,1010,1008,1006,10,9,6,23,3,,0.00,3,Thunderstorm,247<br />
2014-2-26,33,29,24,26,25,24,94,82,59,1011,1009,1007,10,8,2,19,3,,0.25,3,Rain-Thunderstorm,221<br />
2014-2-27,31,27,23,26,25,24,100,82,58,1012,1010,1007,10,8,2,11,2,,0.00,4,Thunderstorm,246<br />
2014-2-28,31,27,24,26,26,25,94,84,64,1012,1010,1007,10,8,1,19,3,,0.00,4,Thunderstorm,240<br />
2014-3-1,33,28,22,26,25,22,96,83,58,1012,1010,1006,10,8,2,34,3,,36.07,5,Rain-Thunderstorm,187<br />
2014-3-2,32,27,21,25,23,22,100,88,62,1012,1010,1006,10,8,3,11,5,,0.00,5,Rain-Thunderstorm,163<br />
2014-3-3,31,28,25,25,25,24,94,83,65,1013,1010,1007,10,10,10,11,3,,0.00,6,Thunderstorm,221<br />
2014-3-4,32,28,24,26,24,22,94,82,57,1012,1010,1007,10,10,10,23,6,,0.00,5,Rain-Thunderstorm,126<br />
2014-3-5,34,29,24,26,25,24,100,81,57,1011,1009,1007,10,9,3,19,3,,0.00,4,Rain-Thunderstorm-Tornado,208<br />
2014-3-6,33,28,23,27,26,23,94,83,63,1012,1009,1006,10,10,8,19,3,,5.08,2,Rain-Thunderstorm,257<br />
2014-3-7,32,29,26,26,26,25,100,83,66,1011,1009,1006,19,9,3,19,3,,0.00,4,Rain-Thunderstorm,234<br />
2014-3-8,31,28,25,27,26,25,100,84,65,1011,1009,1007,10,9,4,14,3,,0.00,5,Thunderstorm,215<br />
2014-3-9,31,27,24,26,24,23,95,84,65,1012,1009,1007,10,10,6,14,5,,0.00,5,Rain-Thunderstorm,317<br />
2014-3-10,28,26,23,25,24,23,100,88,74,1013,1011,1009,10,8,1,14,3,,3.05,4,Rain-Thunderstorm,224<br />
2014-3-11,31,28,25,25,24,24,100,84,61,1014,1012,1009,10,9,4,11,3,,0.00,3,Thunderstorm,176<br />
2014-3-12,34,29,24,26,24,22,94,78,47,1014,1012,1009,10,10,8,19,3,,0.00,4,Thunderstorm,252<br />
2014-3-13,34,28,22,26,24,22,94,79,49,1013,1011,1007,10,9,6,19,3,,0.00,4,Thunderstorm,241<br />
2014-3-14,33,29,25,27,26,26,94,86,63,1013,1010,1007,10,9,2,14,2,,3.05,2,Thunderstorm,201<br />
2014-3-15,34,30,26,27,26,24,94,81,57,1012,1009,1006,10,9,8,11,3,,0.00,3,Thunderstorm,280<br />
2014-3-16,32,28,23,26,24,23,94,83,60,1011,1008,1006,10,9,2,11,5,,153.92,6,Rain-Thunderstorm,102<br />
2014-3-17,32,29,26,27,26,24,100,85,66,1012,1010,1007,10,9,6,19,3,,0.00,5,Rain-Thunderstorm,255<br />
2014-3-18,29,27,24,26,24,23,94,87,79,1011,1010,1009,10,10,10,14,3,,0.00,5,Thunderstorm,235<br />
2014-3-19,33,29,26,26,26,25,94,82,60,1012,1010,1008,19,11,10,14,3,,0.00,4,,190<br />
2014-3-20,32,29,25,26,26,25,96,82,63,1013,1010,1008,10,10,10,14,3,,0.00,4,,225<br />
2014-3-21,33,29,26,26,26,24,94,79,58,1012,1010,1007,10,10,10,19,6,,0.00,2,,246<br />
2014-3-22,33,28,24,27,26,24,100,84,63,1011,1009,1006,19,9,5,19,5,,0.00,3,Rain-Thunderstorm,277<br />
2014-3-23,31,27,23,26,25,23,94,87,75,1012,1009,1007,19,10,10,14,3,,6.10,3,Thunderstorm,209<br />
2014-3-24,32,28,23,26,24,23,96,80,53,1013,1010,1008,10,10,6,14,3,,0.00,3,Thunderstorm,189<br />
2014-3-25,29,27,24,26,25,24,100,89,70,1013,1010,1008,10,9,3,8,2,,3.05,4,Rain-Thunderstorm,155<br />
2014-3-26,32,28,24,26,25,24,100,86,70,1013,1010,1008,19,9,4,19,2,,6.10,4,Thunderstorm,231<br />
2014-3-27,31,27,22,26,24,22,100,86,61,1013,1010,1007,10,9,4,23,5,39,0.00,5,Rain-Thunderstorm,257<br />
2014-3-28,33,28,24,26,24,23,100,81,51,1012,1010,1008,10,9,3,23,5,,0.00,3,Rain-Thunderstorm,255<br />
2014-3-29,30,28,25,26,26,25,97,85,65,1014,1011,1009,10,9,4,11,3,,0.00,4,Rain-Thunderstorm,215<br />
2014-3-30,33,28,24,26,24,22,95,81,57,1013,1011,1007,19,9,3,19,5,,5.08,4,Rain-Thunderstorm,325<br />
2014-3-31,33,28,24,26,24,22,94,83,64,1013,1011,1007,19,10,6,16,3,,0.00,4,Thunderstorm,179<br />
