
WAST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2014-1-1,31,24,18,12,9,5,60,36,20,1021,1019,1017,10,10,10,16,8,29,0.51,5,Thunderstorm,96<br />
2014-1-2,32,24,17,12,9,7,63,36,15,1019,1017,1015,10,10,10,23,10,40,0.00,6,Rain-Thunderstorm,112<br />
2014-1-3,32,24,17,11,8,2,63,36,10,1020,1018,1015,10,10,10,21,13,42,0.00,2,,109<br />
2014-1-4,32,24,16,12,11,7,66,46,15,,,,,,,14,5,,0.25,,,-1<br />
2014-1-5,27,19,12,12,4,0,91,37,13,1016,1014,1012,10,10,10,24,13,50,0.25,1,,283<br />
2014-1-6,23,15,7,6,1,-8,76,46,10,1015,1013,1011,10,10,10,24,13,52,0.00,1,,296<br />
2014-1-8,26,18,11,3,1,-2,58,27,10,1018,1016,1015,,,,16,10,34,0.00,,,284<br />
2014-1-9,28,19,10,5,2,-3,67,33,8,1020,1018,1016,,,,16,6,34,0.00,,,239<br />
2014-1-10,31,22,12,6,3,-1,54,29,7,1021,1019,1018,10,10,10,13,8,,0.00,1,,50<br />
2014-1-11,35,26,16,7,5,2,40,24,7,1023,1022,1020,,,,16,8,35,0.00,,,212<br />
2014-1-12,33,27,21,6,4,2,31,22,12,1024,1023,1022,,,,19,6,,0.00,,,178<br />
2014-1-13,35,28,20,11,7,4,40,25,10,1024,1022,1019,10,10,10,11,5,,0.00,4,,360<br />
2014-1-14,33,25,17,18,13,10,94,57,18,1022,1021,1019,10,9,0,34,10,77,41.91,5,Rain-Thunderstorm,77<br />
2014-1-15,31,23,16,16,14,12,88,63,28,1023,1022,1020,10,10,10,19,10,,0.25,4,,86<br />
2014-1-16,32,24,18,16,13,8,83,48,18,1025,1023,1021,10,10,10,14,6,,0.00,5,,71<br />
2014-1-17,32,26,18,14,12,10,68,49,28,1025,1024,1021,10,10,10,14,6,,0.00,5,Rain-Thunderstorm,126<br />
2014-1-18,32,25,17,17,12,10,94,52,17,1025,1022,1019,31,12,10,23,11,40,9.91,5,Rain-Thunderstorm,128<br />
2014-1-19,32,24,17,15,12,9,88,49,17,1024,1023,1020,10,10,10,16,8,,0.00,4,,102<br />
2014-1-20,33,26,18,15,8,1,78,37,11,1024,1022,1018,10,10,10,16,6,,0.00,2,,111<br />
2014-1-21,32,26,19,13,11,9,64,42,19,1024,1022,1020,10,10,10,23,11,,0.00,5,Rain-Thunderstorm,25<br />
2014-1-22,30,23,17,17,13,10,94,55,30,1024,1022,1020,31,13,10,16,8,,3.05,6,Rain-Thunderstorm,80<br />
2014-1-23,31,23,16,16,15,13,94,73,27,1023,1021,1018,31,13,10,19,8,,17.02,5,Rain-Thunderstorm,101<br />
2014-1-24,30,23,16,17,14,12,94,62,32,1021,1019,1017,10,10,10,19,6,,0.25,6,Rain,94<br />
2014-1-25,32,26,19,16,9,2,83,36,17,1021,1019,1017,10,10,10,21,10,,0.00,2,,150<br />
2014-1-26,33,25,17,14,8,3,82,35,11,1021,1018,1015,10,10,10,14,6,,0.00,4,,128<br />
2014-1-27,27,21,16,16,14,12,88,65,41,1021,1018,1016,10,10,10,26,10,47,0.51,6,Rain,86<br />
2014-1-28,33,24,16,17,14,6,88,64,29,1022,1018,1014,10,10,8,24,8,27,0.00,4,,90<br />
2014-1-29,29,23,18,18,16,14,100,73,35,1019,1017,1016,10,10,10,14,5,,0.25,4,,164<br />
2014-1-30,29,23,18,18,16,13,94,69,30,1020,1018,1016,10,10,10,14,8,,9.91,3,Thunderstorm,187<br />
2014-1-31,29,23,17,18,14,7,100,67,31,1020,1018,1015,10,10,10,16,6,,0.51,3,,175<br />
2014-2-1,28,22,16,18,13,7,100,71,41,1019,1018,1016,31,17,10,19,5,39,14.99,6,Rain-Thunderstorm,86<br />
2014-2-2,25,21,17,17,15,12,94,74,37,1019,1017,1016,10,10,10,14,8,,0.76,6,Rain,169<br />
2014-2-3,27,22,18,19,16,14,100,78,49,1019,1017,1014,10,9,5,13,6,,12.95,6,Rain,147<br />
2014-2-4,24,21,18,18,17,16,100,89,69,1017,1016,1014,10,8,4,14,5,,8.89,7,Fog-Rain-Thunderstorm,194<br />
2014-2-5,26,21,17,17,16,15,88,77,48,1017,1016,1015,10,10,10,16,8,,0.25,4,,176<br />
