
EET,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,19,15,11,13,9,5,94,73,41,1019,1016,1014,14,8,3,32,11,,5.08,3,Rain-Thunderstorm,243<br />
2015-1-2,18,13,8,12,8,6,94,74,46,1021,1019,1017,31,11,6,39,13,35,2.03,2,Rain,270<br />
2015-1-3,17,11,6,9,6,5,93,77,48,1020,1019,1017,26,12,10,32,8,52,0.51,2,Rain,303<br />
2015-1-4,18,12,7,8,7,5,87,68,37,1018,1016,1015,31,11,10,26,10,,0.00,2,,266<br />
2015-1-5,18,14,12,15,12,7,100,82,60,1014,1008,1002,14,7,0,63,24,93,56.90,6,Rain,228<br />
2015-1-6,14,11,8,13,7,1,95,70,41,1007,1003,999,19,9,1,69,43,101,2.03,4,Rain-Thunderstorm,236<br />
2015-1-7,12,9,5,4,1,-3,81,65,23,1015,1009,1005,31,12,10,39,16,42,0.51,2,Rain-Thunderstorm,286<br />
2015-1-8,10,7,3,0,-3,-5,75,51,27,1024,1021,1016,31,11,10,32,18,,0.00,3,,338<br />
2015-1-9,8,4,1,-2,-4,-6,70,52,27,1026,1024,1023,31,12,10,34,21,48,0.00,1,,341<br />
2015-1-10,11,5,-1,6,2,-4,87,72,47,1025,1020,1015,31,11,10,16,10,27,0.25,3,Rain,298<br />
2015-1-11,13,9,5,6,4,2,87,71,48,1029,1023,1016,26,12,10,32,14,,0.00,2,,16<br />
2015-1-12,16,10,4,7,5,3,87,69,46,1029,1026,1022,26,11,9,23,11,,0.00,3,,223<br />
2015-1-13,13,13,13,8,7,5,72,62,47,1023,1022,1020,19,11,10,45,31,,0.00,5,Rain,94<br />
2015-1-14,15,12,10,11,8,6,94,76,49,1022,1020,1018,14,10,1,37,27,,8.89,4,Rain-Thunderstorm,49<br />
2015-1-15,16,11,7,9,8,5,100,80,51,1019,1017,1016,19,10,1,26,13,,0.00,4,Rain,330<br />
2015-1-16,17,11,6,11,8,4,94,78,50,1021,1019,1018,26,11,7,23,10,,2.03,3,Rain-Thunderstorm,6<br />
2015-1-17,17,13,8,11,9,7,94,76,43,1026,1023,1020,14,10,5,35,19,,1.02,3,Rain-Thunderstorm,23<br />
2015-1-18,18,13,7,10,7,4,93,71,41,1028,1026,1025,31,11,8,23,11,,0.00,2,,288<br />
2015-1-19,18,14,9,10,8,7,94,72,44,1026,1024,1023,31,12,10,14,10,,0.00,2,,295<br />
2015-1-20,19,13,8,10,8,6,94,75,40,1023,1022,1021,31,12,8,13,8,,0.00,1,,294<br />
2015-1-21,18,13,8,13,11,7,100,84,58,1022,1021,1020,19,9,6,13,8,,0.25,2,,298<br />
