
MSK,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,-12,-16,-21,-13,-17,-24,92,88,72,1013,1006,1004,10,7,1,21,11,26,0.51,7,Snow,183<br />
2015-1-2,-5,-12,-18,-6,-14,-24,100,91,74,1010,1004,997,10,6,2,26,11,32,2.03,7,Snow,135<br />
2015-1-3,2,-3,-8,1,-2,-6,100,97,83,998,990,986,10,6,1,32,23,43,2.03,8,Rain-Snow,186<br />
2015-1-4,1,0,-1,0,-2,-3,100,89,68,991,989,987,10,10,2,26,19,32,0.25,7,Snow,202<br />
2015-1-5,0,-2,-3,-1,-2,-4,100,91,71,997,992,989,10,7,2,26,19,35,0.76,7,Rain-Snow,199<br />
2015-1-6,-4,-12,-19,-4,-12,-23,100,86,58,1012,1001,994,10,8,2,32,18,43,2.03,8,Snow,286<br />
2015-1-7,-23,-26,-30,-23,-28,-32,84,73,49,1026,1018,1010,10,10,5,32,18,35,0.00,7,Snow,335<br />
2015-1-8,-15,-22,-30,-16,-27,-34,92,80,59,1027,1018,1010,10,8,2,26,13,,0.51,6,Snow,249<br />
2015-1-9,-11,-14,-18,-13,-15,-19,92,88,76,1011,1007,1003,10,7,1,26,16,,0.25,8,Snow,226<br />
2015-1-10,-5,-11,-15,-6,-12,-15,100,88,73,1004,1000,999,10,6,1,35,27,47,2.03,8,Snow,173<br />
2015-1-11,-3,-6,-9,-3,-6,-9,100,94,81,1003,999,993,10,3,0,50,32,61,5.08,8,Snow,170<br />
2015-1-12,1,-3,-8,1,-4,-9,100,93,78,997,992,989,10,6,1,43,27,55,2.03,8,Rain-Snow,182<br />
2015-1-13,-1,-2,-4,-2,-3,-6,100,89,70,1001,998,996,10,9,2,26,14,35,0.00,8,Snow,221<br />
2015-1-14,2,-1,-4,1,-2,-5,100,90,64,1007,1003,997,10,9,1,35,18,47,0.51,7,Rain-Snow,240<br />
2015-1-15,2,1,0,1,1,-1,100,93,76,1014,1011,1006,10,8,3,26,18,35,0.51,8,Rain-Snow,221<br />
2015-1-16,1,-5,-11,1,-3,-12,100,92,59,1023,1015,1012,10,5,0,26,10,35,0.00,7,Rain-Snow,302<br />
2015-1-17,-2,-7,-11,-5,-8,-12,100,91,66,1025,1022,1019,10,9,5,26,10,,0.00,6,Fog,185<br />
2015-1-18,-1,-4,-7,-1,-6,-9,100,89,73,1020,1015,1013,10,8,1,21,14,32,1.02,7,Rain-Snow,221<br />
2015-1-19,1,-1,-3,-1,-2,-4,100,91,66,1016,1014,1013,10,10,10,18,11,,0.00,8,Snow,256<br />
2015-1-20,-7,-11,-16,-1,-11,-18,100,79,40,1030,1022,1014,10,8,2,26,14,35,0.00,8,Snow,327<br />
2015-1-21,-10,-13,-16,-14,-16,-19,100,80,56,1031,1028,1025,10,10,10,29,16,35,0.00,2,,280<br />
2015-1-22,-13,-16,-19,-17,-18,-20,92,83,62,1037,1029,1025,10,10,10,29,19,,0.00,5,Snow,326<br />
2015-1-23,-16,-19,-23,-18,-21,-25,92,85,69,1045,1041,1036,10,7,0,18,6,,0.00,7,Fog-Snow,132<br />
