
PKT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,20,12,4,5,3,1,87,58,20,1026,1022,1020,4,3,2,23,5,,0.00,1,,318<br />
2015-1-2,22,12,2,5,3,1,87,57,19,1024,1020,1016,3,2,1,14,3,,0.00,1,,270<br />
2015-1-3,20,13,6,8,5,2,81,62,30,1023,1020,1017,4,3,2,11,3,,0.00,1,,60<br />
2015-1-4,19,11,3,7,3,1,87,62,32,1026,1022,1020,3,2,1,23,5,,0.00,2,,275<br />
2015-1-5,18,12,5,7,5,3,87,65,28,1024,1019,1016,4,2,0,19,5,,0.00,2,,294<br />
2015-1-6,20,12,4,8,4,2,87,61,26,1020,1016,1013,6,3,1,29,5,,0.00,0,,313<br />
2015-1-7,17,12,7,7,6,3,100,80,50,1021,1018,1016,4,2,0,23,11,,0.00,0,Fog,126<br />
2015-1-8,18,10,2,9,6,3,100,81,45,1023,1019,1017,2,1,0,156,18,,0.00,2,Fog,73<br />
2015-1-9,20,12,4,7,4,2,90,64,24,1025,1021,1019,4,2,1,11,5,,0.00,1,,216<br />
2015-1-10,18,11,3,8,5,2,87,71,42,1024,1020,1017,3,2,1,19,2,,0.00,1,,100<br />
2015-1-11,23,13,3,5,3,1,87,57,24,1024,1019,1016,3,2,1,19,2,,0.00,2,,270<br />
2015-1-12,17,11,6,10,7,2,100,77,51,1023,1019,1016,3,1,0,23,11,,0.00,3,Fog,148<br />
2015-1-13,12,9,6,10,7,5,93,86,68,1023,1019,1016,2,1,0,23,13,,18.03,5,Rain,59<br />
2015-1-14,18,13,8,10,8,7,94,76,45,1026,1021,1017,10,6,2,23,13,,0.00,3,Rain,134<br />
2015-1-15,19,13,7,12,8,6,93,73,52,1026,1023,1020,6,4,1,14,3,,0.00,1,,224<br />
2015-1-16,20,13,6,10,7,4,100,72,42,1024,1021,1019,5,3,0,23,5,,0.00,0,Fog,305<br />
2015-1-17,20,12,5,6,4,1,87,62,22,1024,1021,1019,4,4,1,14,3,,0.00,1,,293<br />
2015-1-18,19,12,5,7,4,1,87,60,18,1024,1019,1003,4,3,1,23,5,,0.00,1,,292<br />
2015-1-19,20,12,5,6,3,-5,87,64,18,1023,1020,1018,4,3,2,23,2,,0.00,2,,50<br />
2015-1-20,18,12,5,7,6,4,87,64,32,1023,1020,1017,4,2,1,11,5,,0.00,4,,127<br />
2015-1-21,12,9,6,10,8,0,100,84,50,1026,1023,1020,4,2,0,34,13,,10.92,6,Fog-Rain,90<br />
2015-1-22,15,12,9,8,7,6,87,77,50,1026,1023,1020,7,5,1,29,19,,0.00,5,Rain,292<br />
2015-1-23,14,11,8,10,8,5,93,82,60,1027,1023,1021,8,3,0,14,2,,2.03,4,Rain-Thunderstorm,18<br />
2015-1-24,17,10,3,9,6,2,93,74,45,1027,1022,1020,8,3,1,14,2,,0.00,2,,218<br />
2015-1-25,18,11,5,6,5,3,87,60,33,1025,1020,1003,10,5,2,19,5,,0.00,2,,254<br />
2015-1-26,16,10,5,9,6,4,93,76,50,1026,1022,1020,6,2,0,19,6,,0.00,2,,78<br />
2015-1-27,15,11,7,7,4,1,93,71,36,1026,1022,1020,7,4,1,34,6,,0.00,2,,321<br />
2015-1-28,16,9,1,6,3,-1,87,61,4,1025,1020,1015,8,5,2,34,10,,0.00,2,,275<br />
2015-1-29,16,9,2,4,2,1,87,57,26,1026,1023,1021,7,5,3,23,6,,0.00,2,,292<br />
2015-1-30,17,10,3,2,1,0,87,57,21,1027,1024,1021,10,5,3,40,10,,0.00,1,,276<br />
2015-1-31,19,11,3,5,2,0,76,55,19,1023,1021,1016,6,4,2,23,3,,0.00,1,,274<br />
2015-2-1,16,10,3,7,4,4,76,58,32,1022,1020,1018,8,5,2,23,16,,0.00,5,Rain,90<br />
2015-2-2,15,9,2,10,8,2,94,80,60,1024,1021,1019,6,4,2,26,18,,1.02,6,Rain,19<br />
2015-2-3,17,13,9,11,8,6,94,76,51,1029,1022,1019,10,6,2,23,10,,1.02,4,,134<br />
2015-2-4,20,13,6,7,6,3,93,65,23,1030,1026,1023,10,6,2,37,8,,0.00,0,,308<br />
2015-2-5,23,13,4,5,3,1,87,56,16,1024,1020,1018,8,5,3,11,5,,0.00,1,,335<br />
2015-2-6,20,12,4,5,4,4,87,56,24,1023,1020,1018,10,6,3,19,6,,0.00,3,,95<br />
2015-2-7,14,10,6,9,6,3,100,77,48,1024,1021,1019,7,4,2,23,10,,4.06,4,Rain,27<br />
2015-2-8,19,14,9,9,8,7,100,73,41,1024,1021,1019,10,5,1,19,3,,0.00,3,,300<br />
2015-2-9,22,13,5,9,7,5,93,64,26,1026,1022,1020,10,6,3,23,5,,0.00,1,,259<br />
2015-2-10,23,14,7,7,4,1,81,51,17,1025,1021,1019,10,5,2,19,3,,0.00,2,,267<br />
2015-2-11,24,16,7,6,5,3,81,54,21,1021,1018,1016,8,5,3,19,3,,0.00,2,,313<br />
2015-2-12,23,16,8,7,4,0,76,51,22,1021,1017,1014,8,5,3,34,5,,0.00,2,,274<br />
2015-2-13,25,16,7,6,5,3,81,50,18,1018,1014,1011,8,4,3,23,6,,0.00,2,,252<br />
2015-2-14,26,17,8,7,5,3,76,48,15,1016,1012,1008,10,5,2,40,10,,0.00,1,,227<br />
2015-2-15,25,17,8,8,6,3,71,48,18,1017,1013,1011,8,6,3,19,5,,0.00,1,,50<br />
2015-2-16,15,13,12,12,11,8,87,67,43,1020,1017,1015,3,3,3,29,16,,9.91,,Rain-Hail-Thunderstorm,-1<br />
2015-2-17,21,16,11,12,11,9,94,72,53,1020,1017,1014,4,3,1,23,5,,0.00,4,,301<br />
2015-2-18,21,16,11,14,11,9,88,73,48,1019,1015,1013,21,5,1,175,14,,1.02,4,Rain,108<br />
2015-2-19,15,13,11,12,11,10,94,87,72,1020,1017,1015,10,4,2,34,21,,40.89,6,Rain-Thunderstorm,68<br />
2015-2-20,15,12,10,12,11,9,94,87,80,1022,1020,1017,8,4,0,26,16,,3.05,6,Rain-Thunderstorm,25<br />
2015-2-21,21,16,10,13,11,9,94,74,48,1023,1020,1017,8,4,1,23,11,,0.00,4,,289<br />
2015-2-22,25,18,10,13,11,2,100,66,20,1020,1017,1014,6,4,2,23,8,,0.00,2,,292<br />
2015-2-23,24,19,14,14,13,12,94,70,44,1020,1016,1014,4,3,2,14,5,,0.00,5,,121<br />
2015-2-24,18,17,15,15,13,11,94,78,57,1016,1013,1010,8,5,2,45,23,,2.03,6,Rain-Thunderstorm,63<br />
2015-2-25,16,13,10,12,10,7,87,75,60,1017,1008,1005,7,4,1,64,31,,22.10,6,Fog-Rain-Hail-Thunderstorm,112<br />
2015-2-26,18,12,7,8,6,2,87,66,28,1016,1011,954,10,7,3,29,24,,0.00,3,Thunderstorm,288<br />
2015-2-27,21,15,9,8,6,4,87,58,27,1017,1015,1013,10,5,3,23,6,,0.00,1,,106<br />
2015-2-28,21,14,7,9,6,4,81,58,25,1020,1017,1012,6,4,2,23,5,,0.00,2,,91<br />
2015-3-1,14,11,9,12,10,8,100,86,66,1018,1014,1011,6,4,0,26,13,,19.05,6,Rain,45<br />
2015-3-2,12,11,9,12,11,10,100,95,82,1018,1013,1008,4,3,2,40,16,,117.09,7,Rain-Thunderstorm,12<br />
2015-3-3,15,12,10,12,10,8,94,84,72,1020,1017,1015,10,8,3,23,13,,0.00,5,Rain,125<br />
2015-3-4,19,13,6,10,8,7,100,73,45,1018,1016,1014,10,6,1,23,5,,0.00,3,,200<br />
2015-3-5,15,12,8,11,9,9,100,87,62,1024,1019,1012,7,5,2,29,13,,9.91,5,Rain,74<br />
2015-3-6,19,13,6,12,9,6,100,76,46,1024,1021,1019,10,5,0,23,6,,0.00,2,Fog,257<br />
2015-3-7,14,11,8,10,8,6,94,82,60,1019,1016,1014,7,4,1,45,13,,27.94,5,Rain-Thunderstorm,70<br />
2015-3-8,14,11,8,9,7,6,93,80,4,1020,1016,1012,8,5,2,74,23,,7.11,5,Rain-Thunderstorm,360<br />
2015-3-9,20,13,6,8,7,5,100,68,30,1027,1024,1017,6,4,2,23,14,,0.00,3,,296<br />
2015-3-10,23,16,8,9,7,5,87,60,27,1027,1023,1021,10,6,3,23,10,,0.00,3,,297<br />
2015-3-11,24,17,10,11,9,8,82,66,31,1023,1021,1019,5,4,2,11,8,,0.00,4,,15<br />
2015-3-12,25,18,10,11,9,6,76,52,26,1023,1020,1018,6,5,3,11,5,,0.00,2,,258<br />
2015-3-13,26,18,10,9,8,7,82,52,21,1019,1017,1014,6,5,2,19,6,,0.00,2,,99<br />
2015-3-14,25,18,11,11,8,7,77,52,22,1024,1017,1015,10,7,3,34,11,,0.00,3,,57<br />
2015-3-15,16,14,12,13,12,10,95,81,63,1021,1017,1015,10,5,2,37,16,,32.00,3,Rain-Hail-Thunderstorm,59<br />
2015-3-16,15,13,12,13,12,11,100,92,73,1025,1020,1015,6,5,3,34,18,,13.97,3,Rain,79<br />
2015-3-17,22,17,12,13,11,10,100,72,43,1024,1021,1017,10,8,3,23,10,,0.00,3,,339<br />
2015-3-18,24,18,11,13,9,8,100,59,25,1018,1015,1013,10,7,3,34,10,,0.00,1,,290<br />
2015-3-19,26,19,11,12,9,7,77,54,21,1019,1017,1014,8,6,3,29,8,,0.00,2,,276<br />
2015-3-20,27,20,13,12,11,6,77,54,27,1019,1017,1014,6,5,3,156,11,,0.00,2,,313<br />
