
BRST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,31,26,19,18,15,10,83,54,27,1020,1019,1016,19,12,10,23,6,,0.00,3,Thunderstorm,59<br />
2015-1-2,32,26,20,19,17,15,73,59,38,1020,1019,1017,19,11,10,23,5,,6.10,1,Rain-Thunderstorm,266<br />
2015-1-3,31,26,20,20,18,15,83,67,43,1019,1018,1015,19,10,2,48,10,,6.10,2,Rain-Thunderstorm,154<br />
2015-1-4,29,24,20,19,17,15,83,66,38,1022,1019,1017,19,11,10,24,11,,0.00,3,Rain-Thunderstorm,143<br />
2015-1-5,30,24,18,18,15,10,88,57,21,1021,1019,1017,19,12,10,23,6,,0.00,3,,110<br />
2015-1-6,31,26,20,17,14,10,73,51,24,1022,1020,1018,19,12,10,24,5,,0.00,4,,94<br />
2015-1-7,36,27,18,17,16,14,77,57,21,1021,1019,1016,19,13,10,24,6,,0.00,2,,123<br />
2015-1-8,29,23,18,18,16,13,88,62,32,1020,1018,1016,19,12,10,23,10,,0.00,4,,120<br />
2015-1-9,28,23,18,16,14,13,78,56,29,1021,1019,1017,19,13,10,24,11,32,0.00,2,,112<br />
2015-1-10,28,22,16,14,13,11,82,57,26,1022,1020,1018,19,13,10,21,5,,0.00,2,,115<br />
2015-1-11,30,23,17,16,14,11,78,49,21,1021,1019,1017,19,13,10,21,6,,0.00,3,,130<br />
2015-1-12,30,24,19,16,14,12,69,50,23,1022,1019,1016,19,12,10,21,6,,0.00,2,,103<br />
2015-1-13,31,24,18,17,14,10,78,52,20,1020,1018,1016,19,12,10,24,8,,0.00,3,,81<br />
2015-1-14,30,24,19,17,13,9,78,51,19,1021,1019,1017,19,13,10,19,8,,0.00,3,,95<br />
2015-1-15,28,22,17,14,12,10,77,49,23,1021,1019,1017,19,13,10,26,10,,0.00,3,,108<br />
2015-1-16,29,23,18,16,14,11,83,53,25,1022,1019,1017,19,12,10,26,10,,0.00,2,,121<br />
2015-1-17,31,24,17,17,13,11,77,51,20,1021,1019,1017,19,13,10,16,6,,0.00,3,,157<br />
2015-1-18,31,24,19,18,14,10,83,53,19,1021,1018,1016,19,13,10,16,5,,0.00,4,,148<br />
2015-1-19,31,24,18,15,13,10,73,46,18,1021,1018,1015,19,12,10,21,8,,0.00,3,,128<br />
2015-1-20,31,24,18,17,13,8,73,48,19,1019,1017,1014,19,12,10,19,6,,0.00,2,,140<br />
2015-1-21,30,24,18,17,14,11,78,56,31,1019,1017,1014,19,12,10,23,10,45,0.00,3,,323<br />
2015-1-22,28,23,17,17,16,14,88,68,32,1020,1018,1015,19,11,6,37,10,,5.08,4,Rain-Thunderstorm,333<br />
2015-1-23,26,22,18,17,16,12,94,73,39,1021,1019,1016,19,11,5,27,8,,4.06,5,Rain,151<br />
2015-1-24,24,21,18,18,17,15,94,80,61,1020,1019,1018,19,11,8,21,10,,0.00,6,Rain-Thunderstorm,85<br />
2015-1-25,24,21,17,19,17,14,100,81,57,1021,1019,1017,19,10,3,16,6,,2.03,6,Rain,30<br />
2015-1-26,26,22,18,19,17,13,100,74,43,1021,1019,1017,19,12,10,21,6,,1.02,4,,15<br />
2015-1-27,26,21,17,18,17,16,94,75,54,1021,1019,1017,19,12,10,29,5,,0.00,3,Rain-Thunderstorm,95<br />
2015-1-28,27,22,18,18,17,16,94,80,54,1021,1019,1016,19,11,3,27,6,,4.06,4,Rain-Thunderstorm,156<br />
2015-1-29,27,22,17,18,16,15,94,75,43,1022,1019,1017,19,9,1,23,6,35,2.03,3,Rain-Thunderstorm,195<br />
