
ECT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,32,28,24,22,21,20,83,68,49,1011,1008,1006,14,10,10,19,13,,0.00,6,,219<br />
2015-1-2,33,29,25,21,21,20,78,61,41,1010,1008,1005,10,10,10,19,11,,0.00,5,,201<br />
2015-1-3,33,29,24,24,22,20,89,69,40,1010,1008,1005,10,10,8,19,10,,0.00,6,Rain,41<br />
2015-1-4,29,26,23,23,22,21,94,79,59,1011,1010,1008,10,10,10,13,10,,0.00,6,Rain,2<br />
2015-1-5,34,29,24,23,22,20,94,68,32,1011,1009,1005,10,10,10,21,8,,0.00,5,,81<br />
2015-1-6,31,27,24,24,22,21,89,77,62,1011,1009,1007,10,10,10,16,10,,0.00,6,Rain,121<br />
2015-1-7,33,28,24,21,21,19,78,62,38,1009,1007,1004,10,10,10,16,11,,0.00,6,,208<br />
2015-1-8,33,28,24,22,21,20,83,68,44,1010,1008,1006,10,10,10,23,13,,0.00,6,,226<br />
2015-1-9,31,28,24,22,21,19,83,66,44,1011,1009,1007,10,10,10,24,16,,0.00,5,,216<br />
2015-1-10,39,32,24,23,21,19,74,59,37,1011,1009,1006,10,10,10,19,10,,0.00,4,,143<br />
2015-1-11,34,29,24,22,21,19,74,61,41,1011,1009,1006,19,10,10,21,13,,0.00,5,,283<br />
2015-1-12,34,29,24,21,21,19,83,61,33,1012,1009,1006,19,10,10,26,13,,0.00,4,,198<br />
2015-1-13,32,28,23,22,21,19,78,66,49,1012,1010,1007,19,10,10,19,10,,0.00,6,,83<br />
2015-1-14,34,29,24,22,21,19,78,60,39,1011,1009,1006,10,10,10,27,14,,0.00,5,,213<br />
2015-1-15,34,29,24,23,21,19,78,64,38,1013,1010,1007,19,10,10,16,11,34,0.00,5,,16<br />
2015-1-16,29,27,24,24,22,19,100,75,59,1014,1012,1010,10,9,4,21,11,,9.91,7,Rain,222<br />
2015-1-17,34,29,23,24,23,21,94,82,49,1014,1011,1008,10,9,4,34,8,,0.51,6,Rain-Thunderstorm,111<br />
2015-1-18,28,26,23,24,23,21,100,84,61,1014,1012,1010,10,9,4,19,11,,0.00,6,Rain,185<br />
2015-1-19,34,28,23,23,21,19,89,67,44,1013,1011,1007,10,10,10,24,11,,0.00,4,,209<br />
2015-1-20,31,27,23,23,21,19,89,72,50,1013,1010,1007,10,10,8,16,13,,0.00,6,Rain,195<br />
2015-1-21,31,26,21,24,21,19,94,75,45,1013,1011,1007,19,9,1,13,8,42,0.00,6,Rain-Thunderstorm,360<br />
2015-1-22,32,27,23,23,22,20,94,76,48,1014,1012,1009,19,10,8,16,8,,0.00,7,Rain,246<br />
2015-1-23,30,27,24,22,21,19,78,68,53,1013,1011,1008,10,10,10,13,6,,0.00,5,,194<br />
2015-1-24,33,29,24,22,19,18,74,59,37,1013,1010,1008,19,11,10,16,11,,0.00,5,,204<br />
2015-1-25,33,29,24,21,19,18,74,55,36,1011,1008,1005,19,10,10,21,8,,0.00,4,,79<br />
2015-1-26,28,27,24,21,19,18,74,63,52,1012,1010,1007,10,10,10,23,11,,0.00,6,Rain,258<br />
2015-1-27,28,26,23,22,21,20,88,75,58,1013,1011,1009,19,10,8,10,5,,5.08,6,Rain,48<br />
2015-1-28,32,28,24,22,21,20,83,69,48,1010,1008,1005,19,10,6,21,6,,0.00,4,Rain,345<br />
2015-1-29,27,25,24,22,19,1,83,71,22,1011,1009,1007,10,9,4,16,13,,0.00,7,Rain,222<br />
2015-1-30,31,27,23,22,21,19,77,62,46,1011,1009,1006,19,11,10,13,6,,0.00,6,,5<br />
2015-1-31,32,28,23,22,21,20,83,69,42,1011,1009,1006,19,10,3,14,5,,2.03,6,Rain,48<br />
2015-2-1,30,27,23,22,20,19,83,66,49,1011,1010,1007,10,10,10,16,6,,0.00,6,,191<br />
2015-2-2,33,29,24,22,19,18,69,57,40,1011,1009,1006,19,10,10,23,10,40,0.00,4,,194<br />
2015-2-3,33,29,24,21,19,18,69,54,36,1010,1008,1005,10,10,10,16,8,,0.00,4,,16<br />
2015-2-4,32,28,24,22,21,19,83,68,40,1011,1008,1005,14,10,10,61,8,,0.00,6,Rain,2<br />
2015-2-5,31,28,24,22,22,20,78,69,53,1012,1009,1006,19,10,8,11,8,,0.00,6,Rain,347<br />
2015-2-6,30,27,23,22,21,19,89,70,48,1013,1010,1008,19,10,8,14,6,,0.00,7,Rain,157<br />
2015-2-7,32,28,24,23,21,19,89,68,48,1013,1011,1008,10,10,8,14,8,,0.00,6,Rain,18<br />
2015-2-8,31,27,24,23,22,21,89,75,47,1014,1012,1008,19,10,6,19,8,39,0.00,6,Rain,359<br />
2015-2-9,31,27,23,22,21,19,88,71,41,1015,1012,1009,19,10,10,10,6,,0.00,6,,30<br />
2015-2-10,33,28,23,21,20,19,83,61,41,1013,1010,1006,19,10,10,16,8,,0.00,5,,223<br />
2015-2-11,33,29,25,23,21,19,83,65,41,1013,1010,1006,19,11,10,11,8,,0.00,5,,248<br />
2015-2-12,28,27,25,22,21,20,78,68,53,1012,1011,1008,19,11,10,16,11,,0.00,6,,261<br />
2015-2-13,30,28,25,23,22,21,78,67,55,1011,1010,1008,10,9,6,13,6,,0.00,6,Rain,196<br />
2015-2-14,32,28,25,23,22,20,89,65,44,1011,1009,1007,19,10,6,13,5,,0.00,6,Rain,22<br />
2015-2-15,28,26,24,23,22,22,89,79,67,1012,1010,1009,10,9,4,14,6,,0.00,6,Rain,306<br />
2015-2-16,33,29,25,23,22,20,83,65,46,1011,1008,1005,19,11,10,21,8,,0.00,5,,216<br />
2015-2-17,31,28,26,23,22,21,79,68,52,1011,1009,1007,19,10,10,14,8,,0.00,6,Rain,13<br />
2015-2-18,29,27,25,23,22,21,83,71,58,1014,1011,1009,10,10,10,13,8,,0.00,6,Rain,133<br />
2015-2-19,28,27,25,22,21,21,78,68,58,1014,1011,1009,10,10,10,13,6,,0.00,6,,54<br />
2015-2-20,33,29,24,23,22,19,83,67,39,1012,1010,1007,19,11,10,16,3,,0.00,5,,132<br />
2015-2-21,32,28,24,23,22,21,78,63,49,1011,1009,1007,19,11,10,16,11,,0.00,4,Rain,175<br />
2015-2-22,33,29,25,23,22,21,78,66,54,1008,1007,1006,19,11,10,13,8,,0.00,3,,217<br />
2015-2-23,31,28,26,23,22,21,74,63,50,1011,1010,1009,10,10,10,10,8,,0.00,6,,30<br />
2015-2-24,32,28,23,23,22,21,94,69,46,1012,1009,1006,10,10,6,13,6,,0.00,5,Rain,55<br />
2015-2-25,32,27,23,22,22,20,83,70,50,1012,1009,1006,10,10,8,19,6,,0.25,6,Rain,91<br />
2015-2-26,29,27,24,23,22,21,89,79,66,1013,1010,1006,10,8,2,14,8,,30.99,7,Rain-Thunderstorm,252<br />
2015-2-27,29,26,23,22,22,21,89,78,61,1013,1010,1007,10,9,4,11,5,,0.00,7,Rain,9<br />
2015-2-28,30,27,23,23,21,19,89,70,49,1013,1010,1007,19,10,6,19,6,,0.00,5,Rain,189<br />
2015-3-1,30,27,23,22,21,20,78,68,56,1013,1011,1008,10,10,10,13,8,,0.00,5,,57<br />
2015-3-2,34,29,24,23,21,20,78,67,33,1012,1010,1005,10,10,10,10,3,,0.00,6,,204<br />
2015-3-3,30,28,25,22,21,20,78,63,51,1011,1009,1006,10,10,10,13,10,,0.00,6,,220<br />
2015-3-4,32,29,25,22,21,20,78,58,49,1010,1007,1005,14,10,10,19,10,,0.00,5,,227<br />
2015-3-5,32,29,26,22,20,18,69,58,40,1010,1008,1005,10,10,10,16,8,,0.00,5,Rain,349<br />
2015-3-6,32,28,24,22,21,19,78,64,46,1011,1009,1006,19,11,10,11,8,,0.00,6,,37<br />
2015-3-7,32,27,23,23,22,21,88,67,48,1011,1008,1005,19,10,3,10,5,,0.00,6,Rain,46<br />
