
MST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-5-27,20,16,11,11,10,8,94,69,50,1020,1019,1016,16,16,5,50,10,60,1.27,3,,316<br />
2015-5-28,21,14,8,9,7,4,97,61,36,1022,1020,1019,16,16,16,29,10,39,1.27,2,,295<br />
2015-5-29,23,16,8,8,6,4,85,54,30,1023,1022,1020,16,16,16,14,3,,0.00,0,,309<br />
2015-5-30,28,19,11,9,7,6,70,46,25,1021,1019,1016,16,16,16,27,10,37,0.00,1,,174<br />
2015-5-31,31,23,16,7,5,2,50,29,16,1019,1016,1013,16,16,16,29,13,39,0.00,0,,164<br />
2015-6-1,31,26,18,7,4,-1,41,28,14,1014,1013,1010,16,16,16,45,24,77,0.00,0,,177<br />
2015-6-2,25,19,13,8,6,3,58,40,28,1015,1014,1012,16,16,16,29,8,39,0.00,0,,300<br />
2015-6-3,25,19,12,9,6,2,73,46,26,1014,1012,1009,16,16,16,48,6,85,0.00,0,,299<br />
2015-6-4,25,18,10,9,6,2,72,43,28,1013,1012,1011,16,16,11,26,10,32,0.00,0,,324<br />
2015-6-5,25,19,13,8,5,-2,64,42,18,1017,1014,1012,16,16,16,39,13,61,0.00,2,,178<br />
2015-6-6,24,18,12,12,7,4,97,52,28,1021,1016,1014,16,16,5,29,14,37,10.67,3,,181<br />
2015-6-7,24,17,11,11,9,6,94,59,34,1022,1020,1018,16,16,16,19,6,27,0.00,1,,217<br />
2015-6-8,28,20,12,11,8,3,79,51,21,1023,1021,1019,16,16,16,19,3,32,0.00,0,,238<br />
2015-6-9,29,21,13,10,7,3,71,42,18,1020,1017,1012,16,16,11,19,6,,0.00,0,,166<br />
2015-6-10,27,22,18,10,8,6,52,40,31,1013,1011,1010,16,16,16,26,14,40,0.00,1,,164<br />
2015-6-11,24,20,16,14,12,9,81,61,44,1016,1014,1012,16,16,8,26,10,32,0.00,5,,183<br />
2015-6-12,28,20,12,13,9,4,84,55,21,1017,1015,1013,16,16,16,23,6,34,0.00,0,,226<br />
2015-6-13,29,22,14,8,6,2,59,36,18,1015,1013,1011,16,16,16,19,6,34,0.00,0,,306<br />
2015-6-14,29,23,16,10,7,4,54,37,20,1015,1013,1012,16,16,16,29,10,37,0.00,0,,274<br />
2015-6-15,32,26,19,16,9,4,74,41,20,1016,1014,1011,16,16,8,32,21,66,4.06,1,,172<br />
2015-6-16,31,23,16,14,10,4,86,48,19,1017,1015,1013,16,16,16,24,6,37,0.00,0,,295<br />
2015-6-17,32,23,15,9,6,1,58,33,15,1018,1017,1015,16,16,16,21,10,27,0.00,0,,210<br />
2015-6-18,35,26,17,7,4,0,45,26,11,1018,1016,1014,16,16,16,29,11,37,0.00,0,,183<br />
2015-6-19,32,27,22,7,1,-1,32,19,13,1016,1014,1013,16,16,16,34,19,40,0.00,0,,210<br />
2015-6-20,33,24,15,9,6,3,56,31,17,1019,1016,1014,16,16,16,27,11,32,0.00,0,,282<br />
2015-6-27,27,27,25,7,6,6,30,26,25,1020,1020,1019,16,16,16,0,0,,0.00,0,,-1<br />
2015-6-28,37,28,19,11,8,6,44,28,15,1020,1019,1016,16,16,16,19,6,26,0.00,0,,219<br />
2015-6-29,38,29,20,12,9,7,46,27,16,1020,1018,1016,16,16,16,21,6,29,0.00,0,,117<br />
2015-6-30,37,29,22,13,10,8,47,30,17,1021,1019,1016,16,16,11,42,10,61,0.00,0,,299<br />
2015-7-1,34,28,21,13,10,8,53,32,19,1022,1019,1016,16,16,16,23,8,39,0.00,0,,308<br />
2015-7-2,34,28,22,12,7,1,47,27,12,1020,1018,1016,16,16,16,29,6,39,0.00,0,,299<br />
2015-7-3,36,28,20,9,7,5,44,26,15,1018,1016,1014,16,16,16,24,6,27,0.00,0,,221<br />
2015-7-4,35,29,23,12,8,7,43,29,17,1016,1014,1012,16,16,11,34,5,40,0.00,1,,152<br />
2015-7-5,30,26,21,16,13,11,73,48,31,1019,1017,1015,16,16,16,23,10,32,0.00,4,,229<br />
2015-7-6,29,23,18,16,12,10,72,50,35,1021,1020,1018,16,16,11,34,8,47,0.25,1,,195<br />
2015-7-7,27,23,18,13,11,9,66,49,36,1020,1017,1015,16,16,11,24,13,34,0.00,1,,168<br />
2015-7-8,26,20,14,15,12,9,97,58,35,1019,1015,1012,16,15,3,45,10,58,9.91,3,,171<br />
2015-7-9,28,21,13,14,11,6,97,60,28,1017,1014,1011,16,16,16,47,10,60,0.51,1,,160<br />
2015-7-10,25,20,16,12,8,6,68,45,31,1017,1016,1013,16,16,11,35,18,48,1.52,2,,174<br />
2015-7-11,29,23,16,10,7,4,64,39,20,1019,1017,1015,16,16,16,35,16,53,0.00,2,,165<br />
2015-7-12,31,25,19,9,3,0,46,26,13,1021,1019,1017,16,16,16,32,23,42,0.00,0,,154<br />
2015-7-13,31,24,18,7,3,-1,35,23,15,1020,1017,1016,16,16,16,34,19,40,0.00,0,,167<br />
2015-7-14,31,23,17,12,8,3,57,36,24,1018,1015,1013,16,16,16,29,8,34,0.00,0,,287<br />
2015-7-15,32,27,21,11,7,3,48,32,16,1017,1015,1014,16,16,11,29,18,37,0.00,0,,237<br />
2015-7-16,32,24,17,10,5,3,51,30,16,1019,1016,1013,16,16,16,24,10,37,0.00,0,,210<br />
2015-7-17,29,24,19,10,7,1,48,32,22,1016,1014,1012,16,16,8,35,11,42,0.00,0,,311<br />
2015-7-18,26,21,16,9,7,5,55,40,28,1023,1019,1015,16,16,8,37,16,47,0.00,1,,320<br />
2015-7-19,28,22,16,10,6,2,59,38,20,1024,1023,1022,16,16,16,23,6,37,0.00,0,,345<br />
2015-7-20,26,21,16,12,8,4,81,45,32,1026,1022,1019,16,16,11,16,3,,0.25,2,,158<br />
2015-7-21,29,22,16,12,9,6,74,45,24,1019,1017,1014,16,16,16,24,13,32,0.00,0,,174<br />
2015-7-22,29,23,18,14,10,8,69,45,28,1016,1014,1012,16,16,6,45,16,71,0.51,2,,170<br />
2015-7-23,30,23,16,13,10,6,81,47,21,1019,1017,1016,16,16,16,32,11,40,0.00,2,,262<br />
2015-7-24,33,26,18,10,4,0,55,26,12,1022,1020,1018,16,16,11,34,13,42,0.00,0,,189<br />
2015-7-25,31,23,16,9,7,4,59,35,20,1022,1019,1016,16,16,16,27,11,39,0.00,1,,247<br />
2015-7-26,35,27,18,7,2,-3,45,21,10,1016,1013,1010,16,16,16,34,18,45,0.00,0,,161<br />
2015-7-27,27,22,17,9,3,-1,43,30,17,1022,1015,1010,16,16,8,50,27,69,0.00,1,,348<br />
2015-7-28,24,18,12,2,-1,-4,42,28,19,1026,1024,1022,16,16,16,29,16,35,0.00,0,,313<br />
2015-7-29,28,20,11,2,0,-3,43,27,16,1027,1025,1024,16,16,16,16,5,,0.00,0,,313<br />
2015-7-30,32,22,13,3,1,-1,44,24,12,1027,1025,1023,16,16,16,21,6,32,0.00,0,,310<br />
2015-7-31,33,23,14,4,1,-2,40,22,13,1025,1023,1021,16,16,16,24,5,32,0.00,0,,310<br />
2015-8-1,33,24,16,4,2,-3,37,22,12,1022,1020,1017,16,16,16,23,5,32,0.00,0,,320<br />
2015-8-2,32,24,16,12,6,2,51,32,18,1018,1016,1015,16,16,16,34,6,53,0.00,0,,160<br />
2015-8-3,22,19,16,16,14,12,99,80,51,1022,1020,1017,16,15,8,37,16,47,7.87,6,,80<br />
