date,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity,Mean Humidity,Min Humidity,Max Sea Level PressurehPa,Mean Sea Level PressurehPa,Min Sea Level PressurehPa,Max VisibilityKm,Mean VisibilityKm,Min VisibilitykM,Max Wind SpeedKm/h,Mean Wind SpeedKm/h,Max Gust SpeedKm/h,Precipitationmm,CloudCover,Events,WindDirDegrees
2015-1-1,15,12,10,4,-4,-9,46,30,13,1025,1022,1017,6,5,3,21,11,,0.00,3,,259
2015-1-2,16,12,8,7,1,-5,59,45,27,1026,1024,1023,10,7,4,10,2,,0.00,,,313
2015-1-3,16,12,7,2,-4,-10,54,31,9,1024,1023,1022,10,10,10,16,6,,0.00,,,256
2015-1-4,17,12,8,4,-1,-9,54,40,15,1024,1022,1020,10,10,10,21,13,,0.00,3,,219
2015-1-5,17,13,9,6,4,2,58,50,32,1021,1017,1013,10,10,10,34,16,,0.00,4,,194
2015-1-6,15,12,10,5,-1,-6,62,38,14,1019,1015,1011,10,4,1,37,29,,0.00,1,,223
2015-1-7,12,10,8,5,2,-2,81,58,36,1026,1020,1017,10,7,2,34,24,,0.25,5,Rain,231
2015-1-8,11,9,7,7,5,4,87,76,60,1028,1026,1025,10,9,3,19,11,,0.51,6,Rain,242
2015-1-9,12,10,8,6,3,1,81,67,40,1028,1026,1023,10,10,10,27,14,,0.00,6,,279
2015-1-10,13,9,4,5,3,0,93,66,34,1027,1025,1022,10,8,1,23,6,,0.00,5,,198
2015-1-11,15,12,9,7,5,0,76,61,37,1028,1024,1020,10,5,2,23,14,,0.00,6,,194
2015-1-12,18,13,8,9,6,3,87,60,30,1027,1024,1021,10,5,2,11,5,,0.00,,,114
2015-1-13,18,16,13,7,4,-2,58,47,22,1021,1019,1018,10,9,6,21,13,,0.00,5,,190
2015-1-14,14,12,9,5,-1,-8,67,39,14,1022,1020,1018,10,10,10,24,11,,0.00,4,,215
2015-1-15,17,14,11,9,7,4,88,64,34,1022,1019,1017,10,10,6,19,11,,0.00,5,,230
2015-1-16,17,14,11,10,7,5,88,61,35,1023,1021,1020,10,7,2,16,10,,0.00,3,Rain,223
2015-1-17,17,13,11,9,7,5,82,65,37,1025,1022,1020,10,7,2,13,8,,0.00,3,,238
