date,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity,Mean Humidity,Min Humidity,Max Sea Level PressurehPa,Mean Sea Level PressurehPa,Min Sea Level PressurehPa,Max VisibilityKm,Mean VisibilityKm,Min VisibilitykM,Max Wind SpeedKm h,Mean Wind SpeedKm h,Max Gust SpeedKm h,Precipitationmm,CloudCover,Events,WindDirDegrees
2015-1-1,-3,-3,-4,-4,-5,-6,93,86,75,987,984,981,31,14,9,23,11,,0,6,Snow,137
2015-1-2,-1,-3,-5,-3,-6,-8,93,79,64,982,979,978,31,10,5,23,18,,0,5,Snow-Thunderstorm,120
2015-1-3,2,-1,-3,-1,-5,-8,93,73,59,1003,993,982,10,9,5,34,18,,0,4,Snow,128
2015-1-4,-4,-7,-9,-8,-11,-12,86,68,51,1018,1012,1004,10,10,10,29,21,,0,3,,144
2015-1-5,-6,-8,-9,-9,-11,-13,86,78,66,1021,1019,1017,10,10,10,14,5,,0,3,,141
2015-1-6,0,-4,-9,-4,-8,-11,86,68,50,1018,1006,997,31,11,10,50,21,,0,6,Snow,131
2015-1-7,1,-1,-2,-2,-3,-5,100,75,57,997,993,989,11,8,3,43,31,,0,6,Snow,154
2015-1-8,1,-2,-5,-3,-5,-7,86,72,53,996,995,993,10,10,10,40,16,,0,6,Snow,140
2015-1-9,1,0,-2,-3,-4,-6,75,65,55,1004,997,990,31,11,10,53,35,,0,4,Snow,134
2015-1-10,-3,-4,-5,-6,-8,-10,80,69,53,1007,1006,1004,10,10,10,26,14,,0,4,,130
2015-1-11,-3,-4,-6,-7,-9,-11,74,66,57,1010,1007,1005,10,10,10,40,23,,0,5,,140
2015-1-12,-9,-11,-12,-11,-14,-16,79,71,59,1011,1009,1006,31,12,10,29,19,,0,2,,128
2015-1-13,-6,-9,-13,-11,-14,-17,79,63,48,1006,1004,1002,10,10,10,40,14,,0,3,Snow,134
2015-1-14,-10,-11,-12,-14,-17,-21,67,51,32,1006,1004,1003,10,10,10,48,34,,0,1,,128
2015-1-15,-11,-12,-13,-17,-20,-23,57,45,29,1008,1005,1004,10,10,10,40,26,,1,1,,127
2015-1-16,-14,-16,-17,-19,-21,-24,67,53,37,1011,1010,1007,10,10,10,37,32,,10,1,,134
2015-1-17,-14,-16,-18,-20,-22,-24,72,53,31,1018,1014,1011,10,10,10,32,24,,1,1,,128
2015-1-18,-5,-11,-18,-8,-14,-21,93,77,55,1018,1015,1011,31,10,3,47,16,,10,5,Snow,206
2015-1-19,-2,-7,-11,-3,-8,-15,93,77,55,1015,1007,1001,31,6,1,50,24,64,15,6,Snow,238
2015-1-20,-3,-4,-6,-4,-7,-9,93,75,60,1017,1009,1003,26,13,10,35,26,,1,6,Snow-Hail,270
2015-1-21,2,-4,-9,-1,-7,-11,93,76,55,1021,1016,1006,26,10,4,43,14,60,3,6,Rain-Snow,147
2015-1-22,3,0,-3,0,-1,-2,87,73,58,1007,1004,1003,14,9,3,50,34,71,20,6,Rain-Snow,232
2015-1-23,3,1,-2,-1,-3,-6,81,66,48,1004,1003,1001,31,11,10,43,29,55,0,5,Rain-Snow,196
2015-1-24,1,-1,-3,-3,-4,-6,93,73,59,1005,1002,1000,10,10,5,27,16,,0,5,Thunderstorm,162
2015-1-25,-3,-4,-5,-6,-8,-10,80,68,56,1009,1007,1005,19,10,10,35,23,,0,4,,136
2015-1-26,-6,-9,-13,-9,-13,-21,74,62,40,1008,1005,1004,31,13,5,69,40,87,0,3,Snow,137
2015-1-27,-15,-17,-18,-21,-24,-26,56,45,34,1013,1010,1005,10,10,10,71,53,98,0,1,Snow,141
2015-1-28,-17,-18,-19,-23,-24,-25,66,51,36,1016,1014,1012,10,10,10,39,29,,0,1,,131
2015-1-29,-14,-18,-21,-21,-23,-26,78,56,31,1015,1013,1012,19,10,10,43,23,,0,2,,125
2015-1-30,-19,-21,-22,-25,-26,-29,71,55,32,1018,1016,1014,10,10,10,43,34,,0,2,,127
2015-1-31,-17,-19,-21,-21,-25,-30,72,51,28,1021,1019,1017,10,10,10,35,26,,0,3,Snow,129
2015-2-1,-17,-18,-19,-21,-24,-29,78,51,23,1023,1021,1020,18,10,6,40,34,,0,4,Snow,132
2015-2-2,-12,-15,-18,-18,-23,-29,72,46,20,1026,1024,1022,10,10,10,40,29,,0,1,,116
2015-2-3,-2,-9,-15,-6,-13,-19,86,68,47,1024,1017,1010,19,7,1,48,23,74,0,5,Snow,170
2015-2-4,1,-2,-4,-2,-6,-8,93,75,56,1010,1000,983,19,7,2,47,35,72,0,6,Snow,166
2015-2-5,1,-6,-12,-1,-7,-16,96,79,54,984,972,965,14,5,0,68,31,84,0,6,Snow-Tornado,189
2015-2-6,-15,-17,-18,-16,-22,-25,73,54,38,991,989,983,31,10,6,35,29,,0,4,Snow,330
2015-2-7,-16,-17,-18,-19,-23,-25,78,51,36,991,988,987,31,11,4,40,26,,0,5,Snow,334
2015-2-8,-16,-19,-23,-18,-24,-27,78,59,39,994,993,991,31,10,6,26,18,,0,2,Snow,58
2015-2-9,-21,-23,-25,-26,-28,-30,71,57,37,994,987,981,10,10,10,26,16,,0,1,,124
2015-2-10,-18,-22,-26,-23,-27,-30,77,61,46,988,986,982,10,10,10,21,10,,0,3,,149
2015-2-11,-17,-22,-27,-21,-24,-31,78,65,48,989,985,983,26,6,1,37,24,,10,4,Snow,132
2015-2-12,-17,-19,-21,-21,-22,-24,78,67,54,992,988,984,31,11,5,29,21,47,3,4,Snow,133
2015-2-13,-18,-20,-22,-21,-24,-28,84,60,33,1008,999,992,31,11,5,32,14,,1,4,Snow,327
2015-2-14,-18,-21,-24,-21,-26,-28,84,63,33,1017,1011,1008,31,13,9,21,10,,1,2,Snow,152
2015-2-15,4,-11,-22,1,-13,-26,93,82,60,1018,1001,983,31,7,0,97,26,111,50,3,Rain-Snow,151
2015-2-16,5,0,-5,1,-1,-5,81,68,50,984,982,980,26,11,10,48,23,61,5,6,Rain-Snow,206
2015-2-17,0,-1,-3,-2,-5,-8,100,69,48,986,983,980,31,10,3,37,16,55,4,4,Snow,181
2015-2-18,-5,-8,-11,-7,-11,-15,80,70,59,990,986,983,10,10,8,34,14,39,0,4,Snow,46
2015-2-19,-12,-14,-17,-13,-17,-20,85,70,59,993,992,990,31,13,10,29,18,,3,5,Snow,81
2015-2-20,-17,-18,-20,-19,-22,-24,85,65,49,995,993,992,10,10,10,26,10,,0,2,Snow,82
2015-2-21,-19,-22,-24,-23,-25,-28,77,60,46,993,990,988,10,10,10,19,11,,0,1,,305
2015-2-22,-23,-24,-25,-27,-28,-30,77,65,54,991,988,987,10,10,10,19,11,,0,1,Thunderstorm,128
