date,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity,Mean Humidity,Min Humidity,Max Sea Level PressurehPa,Mean Sea Level PressurehPa,Min Sea Level PressurehPa,Max VisibilityKm,Mean VisibilityKm,Min VisibilitykM,Max Wind SpeedKm h,Mean Wind SpeedKm h,Max Gust SpeedKm h,Precipitationmm,CloudCover,Events,WindDirDegrees
2015-1-1,21,14,8,8,6,2,93,63,28,1029,1024,1010,24,9,2,21,8,,0,1,Fog,104
2015-1-2,21,14,8,5,3,0,76,51,25,1028,1022,1008,24,20,13,27,6,34,0,1,,125
2015-1-3,21,16,11,6,5,1,71,51,30,1028,1022,1008,24,24,19,29,8,47,0,5,,165
2015-1-4,20,14,9,6,5,3,76,59,35,1032,1026,1012,24,16,10,32,10,,0,7,,31
2015-1-5,13,10,7,4,3,2,76,65,54,1035,1030,1019,24,17,11,19,13,,0,7,,312
2015-1-6,18,10,3,7,5,2,100,77,48,1035,1030,1018,24,10,0,26,11,,0,6,Fog,34
2015-1-7,20,15,10,7,5,-1,76,59,24,1032,1027,1014,24,17,13,32,11,,0,4,,360
2015-1-8,14,11,9,5,3,2,71,60,44,1032,1027,1016,24,20,11,26,16,,0,7,,340
2015-1-9,19,12,6,6,4,1,87,64,32,1030,1025,1013,23,11,8,21,8,,0,5,,42
2015-1-10,20,14,8,7,5,2,82,60,30,1029,1024,1009,23,14,10,24,8,,0,2,Thunderstorm,72
2015-1-11,20,13,6,7,3,-3,93,57,24,1030,1025,1011,19,11,8,14,8,,0,0,,45
2015-1-12,22,13,6,5,3,0,81,55,27,1031,1025,1011,19,11,6,21,8,,0,2,,83
2015-1-13,22,14,7,6,3,-2,76,50,20,1030,1024,1010,13,9,6,26,8,,0,2,,85
2015-1-14,21,14,8,6,4,-1,87,60,23,1030,1025,1010,11,8,4,23,8,,0,3,,88
2015-1-15,22,14,8,6,4,1,76,50,25,1030,1024,1009,16,11,10,19,8,,0,3,,33
2015-1-16,22,14,7,5,3,1,76,49,29,1030,1025,1010,16,11,8,21,8,,0,2,,86
2015-1-17,22,16,9,7,4,2,76,52,27,1032,1026,1012,10,9,6,16,6,,0,3,,64
2015-1-18,20,15,10,5,4,2,67,50,32,1033,1027,1013,16,12,8,23,8,,0,5,,8
2015-1-19,21,13,7,5,3,0,81,54,25,1031,1025,1011,19,12,10,24,10,,0,4,,56
2015-1-20,22,14,7,7,4,1,81,53,27,1028,1022,1007,16,10,8,16,6,,0,2,,63
2015-1-21,23,17,10,8,6,5,71,52,31,1027,1021,1005,16,11,8,21,8,,0,2,,125
2015-1-22,23,17,12,8,6,2,77,53,27,1027,1021,1005,19,15,10,23,8,,0,1,,161
2015-1-23,23,17,10,7,6,2,82,51,25,1027,1022,1006,19,15,10,21,6,39,0,4,,118
2015-1-24,23,16,8,7,5,3,87,55,27,1027,1022,1007,19,13,5,19,8,,0,2,,75
2015-1-25,20,14,8,6,5,2,81,55,30,1029,1023,1010,23,12,8,26,8,,0,5,,25
2015-1-26,21,16,10,5,3,-1,71,48,28,1031,1026,1012,24,15,11,21,10,,0,5,,349
2015-1-27,23,14,7,3,2,0,71,44,23,1031,1026,1010,24,15,10,32,10,,0,1,,46
2015-1-28,23,16,8,3,1,-3,66,43,18,1030,1025,1010,24,18,5,27,10,29,0,0,,23
2015-1-29,22,13,6,3,0,-5,76,45,16,1030,1024,1010,24,21,10,26,11,,0,0,,42
2015-1-30,21,13,5,3,-1,-6,66,44,18,1030,1024,1010,24,17,11,21,11,34,0,1,,69
2015-1-31,24,14,4,3,1,-8,87,49,11,1027,1021,1006,19,13,8,27,10,,0,1,,109
2015-2-1,22,16,10,4,2,-2,62,44,20,1026,1021,1006,24,21,16,27,8,,0,1,,152
2015-2-2,21,14,8,5,2,-2,71,47,21,1027,1022,1007,24,19,11,32,6,,19,4,Rain,137
2015-2-3,19,14,11,8,4,-3,82,51,23,1026,1022,1009,24,22,19,27,13,42,0,7,,138
2015-2-4,23,16,8,5,4,2,76,50,25,1026,1021,1005,24,20,11,24,8,,0,2,,93
2015-2-5,21,14,8,6,3,0,76,51,25,1031,1025,1010,24,16,11,32,11,,0,4,,40
2015-2-6,20,12,5,3,1,-5,81,50,19,1032,1027,1014,24,14,10,21,10,,0,3,,40
2015-2-7,22,12,3,-2,-6,-20,60,33,5,1030,1025,1011,24,15,11,21,8,,0,0,,66
2015-2-8,24,14,4,3,-5,-10,76,32,11,1028,1023,1008,24,14,8,23,8,,0,0,,57
2015-2-9,21,12,4,-1,-5,-10,56,32,13,1030,1024,1011,24,22,16,29,10,,0,0,,37
2015-2-10,21,12,3,0,-3,-9,70,41,14,1028,1023,1009,24,16,11,21,8,,0,1,,51
2015-2-11,23,16,8,7,1,-3,72,44,20,1027,1021,1005,23,12,8,39,10,58,0,5,Rain-Thunderstorm,20
2015-2-12,19,14,9,7,5,0,87,63,30,1029,1024,1008,16,13,6,24,11,50,133,7,Rain,72
2015-2-13,17,12,7,6,5,3,87,64,42,1030,1025,1013,16,9,6,21,10,,0,7,,353
2015-2-14,16,11,7,5,4,2,87,65,42,1031,1025,1014,16,8,5,13,10,,0,8,,71
2015-2-15,21,14,9,6,4,2,82,53,28,1029,1023,1009,19,11,6,23,6,,0,8,,88
2015-2-16,24,17,10,7,6,0,82,51,21,1027,1021,1005,24,18,11,23,10,,0,6,,129
2015-2-17,22,17,13,7,4,2,59,43,27,1027,1021,1006,24,18,13,16,8,,0,6,,66
2015-2-18,25,18,10,7,5,3,67,47,25,1029,1023,1006,19,13,6,16,6,,0,1,,90
2015-2-19,24,17,9,5,4,1,71,46,22,1031,1024,1007,19,13,10,19,11,,0,0,,49
2015-2-20,25,18,10,8,4,2,62,46,24,1028,1022,1006,19,12,0,27,8,40,0,1,,114
2015-2-21,26,18,11,8,7,-2,77,50,16,1027,1021,1004,16,11,8,23,6,,0,0,,95
2015-2-22,27,19,12,8,4,-6,72,38,17,1028,1022,1004,23,13,8,19,6,,19,2,Rain-Thunderstorm,324
2015-2-23,28,19,11,4,-3,-10,48,25,8,1030,1024,1005,24,20,19,27,10,,0,1,,330
2015-2-24,26,17,9,6,3,-3,76,42,15,1029,1023,1006,16,13,8,24,10,,0,1,,74
2015-2-25,26,19,13,6,4,1,54,38,20,1026,1019,1002,19,15,10,29,6,,0,1,,200
2015-2-26,26,19,13,6,3,-3,63,39,16,1023,1017,1000,24,16,13,26,10,39,0,1,,164
2015-2-27,24,17,10,5,1,-1,58,36,19,1025,1018,1002,24,19,13,23,10,,0,2,,135
2015-2-28,25,18,12,5,3,-1,58,40,19,1028,1021,1006,24,20,18,24,8,,0,0,,137
2015-3-1,25,18,11,6,3,1,62,39,21,1030,1024,1007,24,16,11,29,8,,0,0,,61
2015-3-2,26,18,10,4,2,-5,62,36,13,1030,1024,1006,19,15,10,37,8,,0,0,,90
2015-3-3,26,17,9,6,4,-2,76,48,18,1027,1021,1005,19,12,5,27,10,,0,0,,85
2015-3-4,26,19,12,6,4,1,58,40,21,1026,1020,1001,19,13,8,27,6,,0,1,,101
2015-3-5,25,19,13,8,4,2,67,43,25,1029,1022,1004,19,14,10,29,11,,0,1,,8
