date,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity,Mean Humidity,Min Humidity,Max Sea Level PressurehPa,Mean Sea Level PressurehPa,Min Sea Level PressurehPa,Max VisibilityKm,Mean VisibilityKm,Min VisibilitykM,Max Wind SpeedKm h,Mean Wind SpeedKm h,Max Gust SpeedKm h,Precipitationmm,CloudCover,Events,WindDirDegrees
2015-1-1,6,1,-3,0,-2,-4,100,81,51,1038,1036,1033,18,5,0,24,8,27,0,2,Fog,177
2015-1-2,10,6,2,8,3,-1,100,83,61,1037,1033,1029,26,9,3,24,18,,0,6,Rain,229
2015-1-3,12,6,0,12,6,0,100,95,82,1036,1026,1019,14,5,0,40,18,,30,7,Fog-Rain,216
2015-1-4,6,3,1,5,2,-1,93,81,60,1038,1035,1027,31,12,8,23,11,,3,5,,75
2015-1-5,2,-1,-3,2,-1,-3,100,97,87,1037,1032,1027,8,2,0,11,8,,0,7,Fog,146
2015-1-6,5,1,-2,4,1,-2,100,96,87,1028,1025,1023,7,4,0,21,10,35,0,7,Fog,192
2015-1-7,5,2,-1,5,2,-1,100,98,91,1032,1029,1028,11,3,0,21,8,,0,7,Fog,189
2015-1-8,11,8,4,9,7,4,100,89,76,1034,1027,1022,31,11,5,42,23,61,36,6,Rain,220
2015-1-9,14,10,7,12,9,5,100,86,70,1033,1028,1025,31,13,3,39,27,45,10,6,Rain,225
2015-1-10,13,11,7,12,9,4,94,81,67,1026,1022,1019,31,15,3,42,34,58,10,7,Rain,250
2015-1-11,8,6,4,4,2,1,87,73,52,1030,1026,1021,31,15,10,29,19,,1,4,Rain,261
2015-1-12,9,8,6,6,4,2,82,75,61,1029,1023,1017,26,14,10,39,29,53,0,6,,207
2015-1-13,10,8,7,8,6,3,87,81,68,1017,1011,1008,31,14,3,45,31,64,10,5,Rain,209
2015-1-14,8,7,5,6,3,2,87,76,53,1016,1013,1010,31,16,8,50,27,76,3,5,Rain,218
2015-1-15,11,8,6,8,6,4,87,75,54,1010,1003,999,31,15,7,58,37,85,10,7,Rain,207
2015-1-16,8,7,5,5,3,3,94,82,65,1011,1007,1004,26,14,3,21,13,39,0,6,Rain,194
2015-1-17,7,3,1,4,1,-2,100,89,45,1019,1016,1012,31,7,0,19,10,40,0,4,Fog,234
2015-1-18,6,3,1,2,1,-1,100,81,57,1017,1013,1010,26,12,6,21,16,,0,6,Rain,166
2015-1-19,3,1,0,1,0,-2,100,88,70,1013,1012,1010,26,9,2,16,8,,1,7,Rain-Snow,349
2015-1-20,2,1,-1,0,-1,-3,100,90,68,1014,1012,1011,11,6,0,13,5,,0,6,Fog,131
2015-1-21,3,1,-1,0,-2,-4,93,81,68,1011,1008,1007,18,11,9,21,13,,0,6,,111
2015-1-22,0,-2,-3,-1,-2,-3,100,91,83,1023,1016,1010,10,4,0,21,13,,0,7,Fog,5
2015-1-23,3,1,-1,-1,-2,-3,93,82,67,1028,1025,1022,7,5,3,16,13,,0,6,,322
2015-1-24,6,2,-1,3,-1,-3,100,84,57,1032,1025,1021,26,9,1,29,16,,10,6,Rain-Snow,271
2015-1-25,6,2,-1,2,1,-2,100,85,70,1034,1032,1029,14,11,8,13,8,32,0,5,Rain,270
