date,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity,Mean Humidity,Min Humidity,Max Sea Level PressurehPa,Mean Sea Level PressurehPa,Min Sea Level PressurehPa,Max VisibilityKm,Mean VisibilityKm,Min VisibilitykM,Max Wind SpeedKm h,Mean Wind SpeedKm h,Max Gust SpeedKm h,Precipitationmm,CloudCover,Events,WindDirDegrees
2015-1-1,8,4,1,4,-7,-13,76,45,33,1009,1002,994,10,10,5,47,27,69,0,3,Snow,328
2015-1-2,6,2,-1,-4,-9,-14,53,41,27,1013,1010,1007,10,10,10,21,11,,0,2,,302
2015-1-3,8,4,0,-4,-8,-13,60,42,22,1016,1014,1009,10,10,10,23,16,,0,1,,298
2015-1-4,8,4,1,0,-4,-7,65,53,43,1016,1013,1010,10,10,10,13,6,,0,2,,301
2015-1-5,12,7,3,4,-1,-4,76,59,33,1019,1016,1013,10,10,10,29,13,,0,1,,45
2015-1-6,16,11,7,13,6,-4,94,65,43,1016,1002,993,10,9,4,53,31,85,0,5,Rain,228
2015-1-7,10,8,5,-5,-7,-9,46,38,27,1005,1002,998,10,10,10,42,32,60,0,4,,342
2015-1-8,11,7,4,-4,-9,-11,42,32,21,1010,1008,1006,10,10,10,37,31,53,0,1,,327
2015-1-9,11,8,5,-5,-9,-12,40,30,19,1012,1010,1009,10,10,10,35,26,52,0,1,,330
2015-1-10,11,7,4,-5,-9,-13,43,30,18,1013,1011,1009,10,10,10,32,21,48,0,1,,333
2015-1-11,11,6,2,0,-4,-6,60,46,35,1014,1011,1007,10,10,10,39,16,50,0,2,Rain,262
2015-1-12,9,6,3,-4,-8,-12,52,36,25,1023,1018,1012,10,10,10,40,27,60,0,1,,326
2015-1-13,11,6,2,-3,-6,-9,48,39,28,1029,1027,1023,10,10,10,26,19,,0,1,,326
2015-1-14,9,6,3,5,-2,-6,76,55,42,1029,1026,1021,10,10,10,16,8,,0,4,,29
